condition,layer,task_i,task_j,cosine_similarity
no-prompt,17,A1,F4,-0.010313655479164765
no-prompt,17,A1,F5,-0.003997782687181745
no-prompt,17,A2,A1,0.047254496318307
no-prompt,17,A2,A2,0.999999999997607
no-prompt,17,A2,A3,0.08624679349721837
no-prompt,17,A2,F0,-0.005359485075469511
no-prompt,17,A2,F1,-0.0024647096494360633
no-prompt,17,A2,F2,0.002791369272194717
no-prompt,17,A2,F3,-0.01011313924707204
no-prompt,17,A2,F4,0.007982042604810996
no-prompt,17,A2,F5,0.009907877927650244
no-prompt,17,A3,A1,0.04162041297237273
no-prompt,17,A3,A2,0.08624679349721837
no-prompt,17,A3,A3,0.9999999999980079
no-prompt,17,A3,F0,0.00947355809305705
no-prompt,17,A3,F1,0.008582105729450467
no-prompt,17,A3,F2,0.003772351584089194
no-prompt,17,A3,F3,0.0057751129585200765
no-prompt,17,A3,F4,0.007524128101013306
no-prompt,17,A3,F5,-0.004254454139693105
no-prompt,17,F0,A1,0.009696136347504642
no-prompt,17,F0,A2,-0.005359485075469511
no-prompt,17,F0,A3,0.00947355809305705
no-prompt,17,F0,F0,0.9999999999936141
no-prompt,17,F0,F1,-0.06188363125392793
no-prompt,17,F0,F2,0.0037872697694162957
no-prompt,17,F0,F3,-9.791113631305506e-05
no-prompt,17,F0,F4,-0.003695646330411276
no-prompt,17,F0,F5,0.0014028225995074
no-prompt,17,F1,A1,0.0033871224861986428
no-prompt,17,F1,A2,-0.0024647096494360633
no-prompt,17,F1,A3,0.008582105729450467
no-prompt,17,F1,F0,-0.06188363125392793
no-prompt,17,F1,F1,0.9999999999891249
no-prompt,17,F1,F2,-0.004818255030197696
no-prompt,17,F1,F3,0.007811446931214923
no-prompt,17,F1,F4,0.0021832222052496227
no-prompt,17,F1,F5,0.003778973613141405
no-prompt,17,F2,A1,0.013159055388501104
no-prompt,17,F2,A2,0.002791369272194717
no-prompt,17,F2,A3,0.003772351584089194
no-prompt,17,F2,F0,0.0037872697694162957
no-prompt,17,F2,F1,-0.004818255030197696
no-prompt,17,F2,F2,0.9999999999954565
no-prompt,17,F2,F3,0.012557270189772393
no-prompt,17,F2,F4,0.007941910465145122
no-prompt,17,F2,F5,0.014302761969116399
no-prompt,17,F3,A1,0.0003663812158938803
no-prompt,17,F3,A2,-0.01011313924707204
no-prompt,17,F3,A3,0.0057751129585200765
no-prompt,17,F3,F0,-9.791113631305506e-05
no-prompt,17,F3,F1,0.007811446931214923
no-prompt,17,F3,F2,0.012557270189772393
no-prompt,17,F3,F3,0.9999999999977403
no-prompt,17,F3,F4,0.18003787071391225
no-prompt,17,F3,F5,0.04879219171732231
no-prompt,17,F4,A1,-0.010313655479164765
no-prompt,17,F4,A2,0.007982042604810996
no-prompt,17,F4,A3,0.007524128101013306
no-prompt,17,F4,F0,-0.003695646330411276
no-prompt,17,F4,F1,0.0021832222052496227
no-prompt,17,F4,F2,0.007941910465145122
no-prompt,17,F4,F3,0.18003787071391225
no-prompt,17,F4,F4,0.9999999999969696
no-prompt,17,F4,F5,0.15319416049528758
no-prompt,17,F5,A1,-0.003997782687181745
no-prompt,17,F5,A2,0.009907877927650244
no-prompt,17,F5,A3,-0.004254454139693105
no-prompt,17,F5,F0,0.0014028225995074
no-prompt,17,F5,F1,0.003778973613141405
no-prompt,17,F5,F2,0.014302761969116399
no-prompt,17,F5,F3,0.04879219171732231
no-prompt,17,F5,F4,0.15319416049528758
no-prompt,17,F5,F5,0.9999999999969773
no-prompt,18,A1,A1,0.9999999999977088
no-prompt,18,A1,A2,0.04168954994698062
no-prompt,18,A1,A3,0.0392001675463738
no-prompt,18,A1,F0,0.007501723263138471
no-prompt,18,A1,F1,0.004151964554974046
no-prompt,18,A1,F2,0.007542450382257752
no-prompt,18,A1,F3,-0.004547356446289505
no-prompt,18,A1,F4,-0.006414427477567431
no-prompt,18,A1,F5,-0.008695540966595212
no-prompt,18,A2,A1,0.04168954994698062
no-prompt,18,A2,A2,0.9999999999976412
no-prompt,18,A2,A3,0.07774584391570397
no-prompt,18,A2,F0,-0.003086949019057778
no-prompt,18,A2,F1,-0.004103957946424653
no-prompt,18,A2,F2,-0.00485575464154616
no-prompt,18,A2,F3,-0.004470400328596297
no-prompt,18,A2,F4,0.005334634912493994
no-prompt,18,A2,F5,0.005353382251643
no-prompt,18,A3,A1,0.0392001675463738
no-prompt,18,A3,A2,0.07774584391570397
no-prompt,18,A3,A3,0.9999999999980222
no-prompt,18,A3,F0,0.0034601665806151425
no-prompt,18,A3,F1,-0.0032779344278076046
no-prompt,18,A3,F2,0.002375220526295741
no-prompt,18,A3,F3,-0.0010079248202362475
no-prompt,18,A3,F4,-0.000446821001309628
no-prompt,18,A3,F5,-0.00964739744571595
no-prompt,18,F0,A1,0.007501723263138471
no-prompt,18,F0,A2,-0.003086949019057778
no-prompt,18,F0,A3,0.0034601665806151425
no-prompt,18,F0,F0,0.9999999999930563
no-prompt,18,F0,F1,-0.05888132286829032
no-prompt,18,F0,F2,0.008410062343963472
no-prompt,18,F0,F3,-7.821358409421424e-05
no-prompt,18,F0,F4,-0.0023915764488556023
no-prompt,18,F0,F5,0.00832897125438792
no-prompt,18,F1,A1,0.004151964554974046
no-prompt,18,F1,A2,-0.004103957946424653
no-prompt,18,F1,A3,-0.0032779344278076046
no-prompt,18,F1,F0,-0.05888132286829032
no-prompt,18,F1,F1,0.999999999988131
no-prompt,18,F1,F2,-0.004736362860743349
no-prompt,18,F1,F3,0.0014907856091307635
no-prompt,18,F1,F4,-0.00019265709860333076
no-prompt,18,F1,F5,0.007339206763562862
no-prompt,18,F2,A1,0.007542450382257752
no-prompt,18,F2,A2,-0.00485575464154616
no-prompt,18,F2,A3,0.002375220526295741
no-prompt,18,F2,F0,0.008410062343963472
no-prompt,18,F2,F1,-0.004736362860743349
no-prompt,18,F2,F2,0.9999999999949519
no-prompt,18,F2,F3,0.011286129691021692
no-prompt,18,F2,F4,0.0058706824042635
no-prompt,18,F2,F5,0.01780428930501182
no-prompt,18,F3,A1,-0.004547356446289505
no-prompt,18,F3,A2,-0.004470400328596297
no-prompt,18,F3,A3,-0.0010079248202362475
no-prompt,18,F3,F0,-7.821358409421424e-05
no-prompt,18,F3,F1,0.0014907856091307635
no-prompt,18,F3,F2,0.011286129691021692
no-prompt,18,F3,F3,0.9999999999976281
no-prompt,18,F3,F4,0.17784808027833626
no-prompt,18,F3,F5,0.04931552440461149
no-prompt,18,F4,A1,-0.006414427477567431
no-prompt,18,F4,A2,0.005334634912493994
no-prompt,18,F4,A3,-0.000446821001309628
no-prompt,18,F4,F0,-0.0023915764488556023
no-prompt,18,F4,F1,-0.00019265709860333076
no-prompt,18,F4,F2,0.0058706824042635
no-prompt,18,F4,F3,0.17784808027833626
no-prompt,18,F4,F4,0.9999999999967799
no-prompt,18,F4,F5,0.15039776412140088
no-prompt,18,F5,A1,-0.008695540966595212
no-prompt,18,F5,A2,0.005353382251643
no-prompt,18,F5,A3,-0.00964739744571595
no-prompt,18,F5,F0,0.00832897125438792
no-prompt,18,F5,F1,0.007339206763562862
no-prompt,18,F5,F2,0.01780428930501182
no-prompt,18,F5,F3,0.04931552440461149
no-prompt,18,F5,F4,0.15039776412140088
no-prompt,18,F5,F5,0.9999999999967408
no-prompt,19,A1,A1,0.9999999999976481
no-prompt,19,A1,A2,0.04302208850560634
no-prompt,19,A1,A3,0.044132712049097064
no-prompt,19,A1,F0,0.01195407150323058
no-prompt,19,A1,F1,0.0019496431018739147
no-prompt,19,A1,F2,0.009088064104397548
no-prompt,19,A1,F3,-0.0014984270663953136
no-prompt,19,A1,F4,-0.00920713532845765
no-prompt,19,A1,F5,-0.004277268155942004
no-prompt,19,A2,A1,0.04302208850560634
no-prompt,19,A2,A2,0.9999999999975634
no-prompt,19,A2,A3,0.08242039158574081
no-prompt,19,A2,F0,0.004418624072220695
no-prompt,19,A2,F1,-0.005529433799525669
no-prompt,19,A2,F2,-0.0035099445039629795
no-prompt,19,A2,F3,-0.0059227336799160465
no-prompt,19,A2,F4,0.002927023904774964
no-prompt,19,A2,F5,0.008757576502779934
no-prompt,19,A3,A1,0.044132712049097064
no-prompt,19,A3,A2,0.08242039158574081
no-prompt,19,A3,A3,0.9999999999979889
no-prompt,19,A3,F0,0.0010818384766586937
no-prompt,19,A3,F1,-0.00010333547727851421
no-prompt,19,A3,F2,0.009501535658270555
no-prompt,19,A3,F3,0.002353508867636241
no-prompt,19,A3,F4,-0.002463080359421824
no-prompt,19,A3,F5,-0.013108704781393359
no-prompt,19,F0,A1,0.01195407150323058
no-prompt,19,F0,A2,0.004418624072220695
no-prompt,19,F0,A3,0.0010818384766586937
no-prompt,19,F0,F0,0.9999999999925473
no-prompt,19,F0,F1,-0.06111039456888027
no-prompt,19,F0,F2,0.015547876587419567
no-prompt,19,F0,F3,-0.0024663728582227464
no-prompt,19,F0,F4,-0.001904337676376954
no-prompt,19,F0,F5,0.00787088113386529
no-prompt,19,F1,A1,0.0019496431018739147
no-prompt,19,F1,A2,-0.005529433799525669
no-prompt,19,F1,A3,-0.00010333547727851421
no-prompt,19,F1,F0,-0.06111039456888027
no-prompt,19,F1,F1,0.9999999999875034
no-prompt,19,F1,F2,-0.004854449227032827
no-prompt,19,F1,F3,0.0002266992232606829
no-prompt,19,F1,F4,0.0004758460449368408
no-prompt,19,F1,F5,0.004190383699527041
no-prompt,19,F2,A1,0.009088064104397548
no-prompt,19,F2,A2,-0.0035099445039629795
no-prompt,19,F2,A3,0.009501535658270555
no-prompt,19,F2,F0,0.015547876587419567
no-prompt,19,F2,F1,-0.004854449227032827
no-prompt,19,F2,F2,0.9999999999941259
no-prompt,19,F2,F3,0.011360186408647324
no-prompt,19,F2,F4,0.006600192468047563
no-prompt,19,F2,F5,0.015165602567390067
no-prompt,19,F3,A1,-0.0014984270663953136
no-prompt,19,F3,A2,-0.0059227336799160465
no-prompt,19,F3,A3,0.002353508867636241
no-prompt,19,F3,F0,-0.0024663728582227464
no-prompt,19,F3,F1,0.0002266992232606829
no-prompt,19,F3,F2,0.011360186408647324
no-prompt,19,F3,F3,0.9999999999974176
no-prompt,19,F3,F4,0.17799549452631674
no-prompt,19,F3,F5,0.04574806889074435
no-prompt,19,F4,A1,-0.00920713532845765
no-prompt,19,F4,A2,0.002927023904774964
no-prompt,19,F4,A3,-0.002463080359421824
no-prompt,19,F4,F0,-0.001904337676376954
no-prompt,19,F4,F1,0.0004758460449368408
no-prompt,19,F4,F2,0.006600192468047563
no-prompt,19,F4,F3,0.17799549452631674
no-prompt,19,F4,F4,0.9999999999965111
no-prompt,19,F4,F5,0.15503177251240757
no-prompt,19,F5,A1,-0.004277268155942004
no-prompt,19,F5,A2,0.008757576502779934
no-prompt,19,F5,A3,-0.013108704781393359
no-prompt,19,F5,F0,0.00787088113386529
no-prompt,19,F5,F1,0.004190383699527041
no-prompt,19,F5,F2,0.015165602567390067
no-prompt,19,F5,F3,0.04574806889074435
no-prompt,19,F5,F4,0.15503177251240757
no-prompt,19,F5,F5,0.9999999999965321
no-prompt,20,A1,A1,0.9999999999975789
no-prompt,20,A1,A2,0.05119853333115274
no-prompt,20,A1,A3,0.03759888172519554
no-prompt,20,A1,F0,0.017625494521132823
no-prompt,20,A1,F1,-2.7165551720843407e-05
no-prompt,20,A1,F2,0.0013996702925048688
no-prompt,20,A1,F3,-0.0031724719049050693
no-prompt,20,A1,F4,-0.008648187229015886
no-prompt,20,A1,F5,-0.00055870531636606
no-prompt,20,A2,A1,0.05119853333115274
no-prompt,20,A2,A2,0.999999999997496
no-prompt,20,A2,A3,0.08906926876578955
no-prompt,20,A2,F0,0.004826374700621116
no-prompt,20,A2,F1,-0.011034013880409968
no-prompt,20,A2,F2,-0.007286065987975194
no-prompt,20,A2,F3,-0.015482218564063649
no-prompt,20,A2,F4,0.002356567187486888
no-prompt,20,A2,F5,0.009207720859057592
no-prompt,20,A3,A1,0.03759888172519554
no-prompt,20,A3,A2,0.08906926876578955
no-prompt,20,A3,A3,0.9999999999979704
no-prompt,20,A3,F0,0.0009600137070226531
no-prompt,20,A3,F1,0.006637150253759584
no-prompt,20,A3,F2,0.01136455287652906
no-prompt,20,A3,F3,0.0041926218764480406
no-prompt,20,A3,F4,0.008000736588376417
no-prompt,20,A3,F5,-0.0030569130265435157
no-prompt,20,F0,A1,0.017625494521132823
no-prompt,20,F0,A2,0.004826374700621116
no-prompt,20,F0,A3,0.0009600137070226531
no-prompt,20,F0,F0,0.9999999999920047
no-prompt,20,F0,F1,-0.06263551093180132
no-prompt,20,F0,F2,0.01801195070927575
no-prompt,20,F0,F3,-0.0009022067088122077
no-prompt,20,F0,F4,-0.0038006129113723817
no-prompt,20,F0,F5,-0.0010094205443772193
no-prompt,20,F1,A1,-2.7165551720843407e-05
no-prompt,20,F1,A2,-0.011034013880409968
no-prompt,20,F1,A3,0.006637150253759584
no-prompt,20,F1,F0,-0.06263551093180132
no-prompt,20,F1,F1,0.9999999999867555
no-prompt,20,F1,F2,-0.00680836953499513
no-prompt,20,F1,F3,0.007207311345804914
no-prompt,20,F1,F4,-0.004997280966758879
no-prompt,20,F1,F5,-0.0027141258752893583
no-prompt,20,F2,A1,0.0013996702925048688
no-prompt,20,F2,A2,-0.007286065987975194
no-prompt,20,F2,A3,0.01136455287652906
no-prompt,20,F2,F0,0.01801195070927575
no-prompt,20,F2,F1,-0.00680836953499513
no-prompt,20,F2,F2,0.9999999999937669
no-prompt,20,F2,F3,0.009033705931345275
no-prompt,20,F2,F4,0.0032137627518666195
no-prompt,20,F2,F5,0.005716551636358526
no-prompt,20,F3,A1,-0.0031724719049050693
no-prompt,20,F3,A2,-0.015482218564063649
no-prompt,20,F3,A3,0.0041926218764480406
no-prompt,20,F3,F0,-0.0009022067088122077
no-prompt,20,F3,F1,0.007207311345804914
no-prompt,20,F3,F2,0.009033705931345275
no-prompt,20,F3,F3,0.99999999999726
no-prompt,20,F3,F4,0.1593727750153753
no-prompt,20,F3,F5,0.038759034723572484
no-prompt,20,F4,A1,-0.008648187229015886
no-prompt,20,F4,A2,0.002356567187486888
no-prompt,20,F4,A3,0.008000736588376417
no-prompt,20,F4,F0,-0.0038006129113723817
no-prompt,20,F4,F1,-0.004997280966758879
no-prompt,20,F4,F2,0.0032137627518666195
no-prompt,20,F4,F3,0.1593727750153753
no-prompt,20,F4,F4,0.9999999999963569
no-prompt,20,F4,F5,0.16558347928255576
no-prompt,20,F5,A1,-0.00055870531636606
no-prompt,20,F5,A2,0.009207720859057592
no-prompt,20,F5,A3,-0.0030569130265435157
no-prompt,20,F5,F0,-0.0010094205443772193
no-prompt,20,F5,F1,-0.0027141258752893583
no-prompt,20,F5,F2,0.005716551636358526
no-prompt,20,F5,F3,0.038759034723572484
no-prompt,20,F5,F4,0.16558347928255576
no-prompt,20,F5,F5,0.9999999999963647
no-prompt,21,A1,A1,0.9999999999974906
no-prompt,21,A1,A2,0.052927523660191336
no-prompt,21,A1,A3,0.03451554937019086
no-prompt,21,A1,F0,0.014197366735378691
no-prompt,21,A1,F1,-0.005511651160071992
no-prompt,21,A1,F2,0.001356704906449349
no-prompt,21,A1,F3,-0.004133436642717638
no-prompt,21,A1,F4,-0.010256036562147767
no-prompt,21,A1,F5,-0.008853509258864396
no-prompt,21,A2,A1,0.052927523660191336
no-prompt,21,A2,A2,0.9999999999975088
no-prompt,21,A2,A3,0.0769615416766452
no-prompt,21,A2,F0,-0.0003970769739429446
no-prompt,21,A2,F1,-0.01364657392983883
no-prompt,21,A2,F2,-0.006080484355494012
no-prompt,21,A2,F3,-0.016315585826924214
no-prompt,21,A2,F4,0.0014172794135267417
no-prompt,21,A2,F5,0.009397359803914943
no-prompt,21,A3,A1,0.03451554937019086
no-prompt,21,A3,A2,0.0769615416766452
no-prompt,21,A3,A3,0.9999999999979182
no-prompt,21,A3,F0,-0.0077126718761414415
no-prompt,21,A3,F1,0.004340403273875388
no-prompt,21,A3,F2,0.007637772410356336
no-prompt,21,A3,F3,-0.0035045010717530884
no-prompt,21,A3,F4,0.005445100050046948
no-prompt,21,A3,F5,0.01195951887076263
no-prompt,21,F0,A1,0.014197366735378691
no-prompt,21,F0,A2,-0.0003970769739429446
no-prompt,21,F0,A3,-0.0077126718761414415
no-prompt,21,F0,F0,0.9999999999915236
no-prompt,21,F0,F1,-0.059288635489165235
no-prompt,21,F0,F2,0.01762564185434972
no-prompt,21,F0,F3,0.00532758992366432
no-prompt,21,F0,F4,-0.007084052326855843
no-prompt,21,F0,F5,-0.006422159197103715
no-prompt,21,F1,A1,-0.005511651160071992
no-prompt,21,F1,A2,-0.01364657392983883
no-prompt,21,F1,A3,0.004340403273875388
no-prompt,21,F1,F0,-0.059288635489165235
no-prompt,21,F1,F1,0.9999999999860106
no-prompt,21,F1,F2,-0.0039601076545535034
no-prompt,21,F1,F3,0.002643555613885362
no-prompt,21,F1,F4,-0.006535491203656135
no-prompt,21,F1,F5,0.0063068545521163455
no-prompt,21,F2,A1,0.001356704906449349
no-prompt,21,F2,A2,-0.006080484355494012
no-prompt,21,F2,A3,0.007637772410356336
no-prompt,21,F2,F0,0.01762564185434972
no-prompt,21,F2,F1,-0.0039601076545535034
no-prompt,21,F2,F2,0.9999999999931293
no-prompt,21,F2,F3,0.01006401048450457
no-prompt,21,F2,F4,0.008220260145219267
no-prompt,21,F2,F5,0.010259253298571403
no-prompt,21,F3,A1,-0.004133436642717638
no-prompt,21,F3,A2,-0.016315585826924214
no-prompt,21,F3,A3,-0.0035045010717530884
no-prompt,21,F3,F0,0.00532758992366432
no-prompt,21,F3,F1,0.002643555613885362
no-prompt,21,F3,F2,0.01006401048450457
no-prompt,21,F3,F3,0.9999999999969774
no-prompt,21,F3,F4,0.15301658391825895
no-prompt,21,F3,F5,0.041065513895732104
no-prompt,21,F4,A1,-0.010256036562147767
no-prompt,21,F4,A2,0.0014172794135267417
no-prompt,21,F4,A3,0.005445100050046948
no-prompt,21,F4,F0,-0.007084052326855843
no-prompt,21,F4,F1,-0.006535491203656135
no-prompt,21,F4,F2,0.008220260145219267
no-prompt,21,F4,F3,0.15301658391825895
no-prompt,21,F4,F4,0.999999999996141
no-prompt,21,F4,F5,0.1585458358563062
no-prompt,21,F5,A1,-0.008853509258864396
no-prompt,21,F5,A2,0.009397359803914943
no-prompt,21,F5,A3,0.01195951887076263
no-prompt,21,F5,F0,-0.006422159197103715
no-prompt,21,F5,F1,0.0063068545521163455
no-prompt,21,F5,F2,0.010259253298571403
no-prompt,21,F5,F3,0.041065513895732104
no-prompt,21,F5,F4,0.1585458358563062
no-prompt,21,F5,F5,0.999999999996138
no-prompt,22,A1,A1,0.9999999999978603
no-prompt,22,A1,A2,0.1172715720996169
no-prompt,22,A1,A3,0.07359632541295986
no-prompt,22,A1,F0,0.01654642433474229
no-prompt,22,A1,F1,-0.0016117290280370058
no-prompt,22,A1,F2,0.0015318081471727303
no-prompt,22,A1,F3,-0.0104835679045496
no-prompt,22,A1,F4,-0.00037775803198967687
no-prompt,22,A1,F5,-0.0010076822145161503
no-prompt,22,A2,A1,0.1172715720996169
no-prompt,22,A2,A2,0.9999999999974337
no-prompt,22,A2,A3,0.08956615497277177
no-prompt,22,A2,F0,0.007543315441156662
no-prompt,22,A2,F1,-0.006531548281028627
no-prompt,22,A2,F2,-0.013864693252787424
no-prompt,22,A2,F3,-0.01759172272842447
no-prompt,22,A2,F4,-0.007517084397400976
no-prompt,22,A2,F5,0.0013260817968726694
no-prompt,22,A3,A1,0.07359632541295986
no-prompt,22,A3,A2,0.08956615497277177
no-prompt,22,A3,A3,0.9999999999978143
no-prompt,22,A3,F0,-0.009699434913163081
no-prompt,22,A3,F1,0.0007718064772308871
no-prompt,22,A3,F2,-0.005352392986053868
no-prompt,22,A3,F3,0.005732542631963673
no-prompt,22,A3,F4,0.011410357555222832
no-prompt,22,A3,F5,0.015495338602551688
no-prompt,22,F0,A1,0.01654642433474229
no-prompt,22,F0,A2,0.007543315441156662
no-prompt,22,F0,A3,-0.009699434913163081
no-prompt,22,F0,F0,0.9999999999906298
no-prompt,22,F0,F1,-0.062395251278590365
no-prompt,22,F0,F2,0.016209755982704136
no-prompt,22,F0,F3,0.00036189860428098596
no-prompt,22,F0,F4,-0.00513401271579766
no-prompt,22,F0,F5,-0.001462359412434768
no-prompt,22,F1,A1,-0.0016117290280370058
no-prompt,22,F1,A2,-0.006531548281028627
no-prompt,22,F1,A3,0.0007718064772308871
no-prompt,22,F1,F0,-0.062395251278590365
no-prompt,22,F1,F1,0.999999999984619
no-prompt,22,F1,F2,-0.004512513709544499
no-prompt,22,F1,F3,-0.004221394053465717
no-prompt,22,F1,F4,-0.006979062359937721
no-prompt,22,F1,F5,0.00011440073856129187
no-prompt,22,F2,A1,0.0015318081471727303
no-prompt,22,F2,A2,-0.013864693252787424
no-prompt,22,F2,A3,-0.005352392986053868
no-prompt,22,F2,F0,0.016209755982704136
no-prompt,22,F2,F1,-0.004512513709544499
no-prompt,22,F2,F2,0.9999999999923832
no-prompt,22,F2,F3,0.013150845250396974
no-prompt,22,F2,F4,0.0025680844124916047
no-prompt,22,F2,F5,0.012470160381989732
no-prompt,22,F3,A1,-0.0104835679045496
no-prompt,22,F3,A2,-0.01759172272842447
no-prompt,22,F3,A3,0.005732542631963673
no-prompt,22,F3,F0,0.00036189860428098596
no-prompt,22,F3,F1,-0.004221394053465717
no-prompt,22,F3,F2,0.013150845250396974
no-prompt,22,F3,F3,0.9999999999966969
no-prompt,22,F3,F4,0.14796332143596722
no-prompt,22,F3,F5,0.04176960749899323
no-prompt,22,F4,A1,-0.00037775803198967687
no-prompt,22,F4,A2,-0.007517084397400976
no-prompt,22,F4,A3,0.011410357555222832
no-prompt,22,F4,F0,-0.00513401271579766
no-prompt,22,F4,F1,-0.006979062359937721
no-prompt,22,F4,F2,0.0025680844124916047
no-prompt,22,F4,F3,0.14796332143596722
no-prompt,22,F4,F4,0.9999999999958208
no-prompt,22,F4,F5,0.15606036995585318
no-prompt,22,F5,A1,-0.0010076822145161503
no-prompt,22,F5,A2,0.0013260817968726694
no-prompt,22,F5,A3,0.015495338602551688
no-prompt,22,F5,F0,-0.001462359412434768
no-prompt,22,F5,F1,0.00011440073856129187
no-prompt,22,F5,F2,0.012470160381989732
no-prompt,22,F5,F3,0.04176960749899323
no-prompt,22,F5,F4,0.15606036995585318
no-prompt,22,F5,F5,0.999999999995878
no-prompt,23,A1,A1,0.9999999999957297
no-prompt,23,A1,A2,0.07037812955246336
no-prompt,23,A1,A3,0.04346403290017609
no-prompt,23,A1,F0,0.008551175619303675
no-prompt,23,A1,F1,-0.013627868385865317
no-prompt,23,A1,F2,0.005193595657830091
no-prompt,23,A1,F3,-0.008132257821329628
no-prompt,23,A1,F4,0.009366314985132504
no-prompt,23,A1,F5,0.004085392554713697
no-prompt,23,A2,A1,0.07037812955246336
no-prompt,23,A2,A2,0.9999999999973532
no-prompt,23,A2,A3,0.05815581930913133
no-prompt,23,A2,F0,0.015902056019744076
no-prompt,23,A2,F1,-0.013223700988230632
no-prompt,23,A2,F2,-0.012841551328099124
no-prompt,23,A2,F3,-0.011966592169428202
no-prompt,23,A2,F4,-0.007601828214244675
no-prompt,23,A2,F5,0.005175816600756933
no-prompt,23,A3,A1,0.04346403290017609
no-prompt,23,A3,A2,0.05815581930913133
no-prompt,23,A3,A3,0.9999999999978033
no-prompt,23,A3,F0,-0.014779764394833854
no-prompt,23,A3,F1,-0.0051501931959905605
no-prompt,23,A3,F2,0.0020579480553561823
no-prompt,23,A3,F3,0.0008685523674903042
no-prompt,23,A3,F4,0.0008314433621275637
no-prompt,23,A3,F5,0.010357926284398983
no-prompt,23,F0,A1,0.008551175619303675
no-prompt,23,F0,A2,0.015902056019744076
no-prompt,23,F0,A3,-0.014779764394833854
no-prompt,23,F0,F0,0.9999999999901521
no-prompt,23,F0,F1,-0.060370610647639274
no-prompt,23,F0,F2,0.010236559850337218
no-prompt,23,F0,F3,0.01184184655643162
no-prompt,23,F0,F4,-0.004015644684519779
no-prompt,23,F0,F5,-0.003151869584356254
no-prompt,23,F1,A1,-0.013627868385865317
no-prompt,23,F1,A2,-0.013223700988230632
no-prompt,23,F1,A3,-0.0051501931959905605
no-prompt,23,F1,F0,-0.060370610647639274
no-prompt,23,F1,F1,0.9999999999839195
no-prompt,23,F1,F2,-0.0033873210466208187
no-prompt,23,F1,F3,0.0020561051390159068
no-prompt,23,F1,F4,-0.008535112218320684
no-prompt,23,F1,F5,-0.006769832803711476
no-prompt,23,F2,A1,0.005193595657830091
no-prompt,23,F2,A2,-0.012841551328099124
no-prompt,23,F2,A3,0.0020579480553561823
no-prompt,23,F2,F0,0.010236559850337218
no-prompt,23,F2,F1,-0.0033873210466208187
no-prompt,23,F2,F2,0.9999999999916547
no-prompt,23,F2,F3,0.009579355906465047
no-prompt,23,F2,F4,-0.003937207505542599
no-prompt,23,F2,F5,0.009113331015951465
no-prompt,23,F3,A1,-0.008132257821329628
no-prompt,23,F3,A2,-0.011966592169428202
no-prompt,23,F3,A3,0.0008685523674903042
no-prompt,23,F3,F0,0.01184184655643162
no-prompt,23,F3,F1,0.0020561051390159068
no-prompt,23,F3,F2,0.009579355906465047
no-prompt,23,F3,F3,0.9999999999964645
no-prompt,23,F3,F4,0.14088446468675858
no-prompt,23,F3,F5,0.04116631757134321
no-prompt,23,F4,A1,0.009366314985132504
no-prompt,23,F4,A2,-0.007601828214244675
no-prompt,23,F4,A3,0.0008314433621275637
no-prompt,23,F4,F0,-0.004015644684519779
no-prompt,23,F4,F1,-0.008535112218320684
no-prompt,23,F4,F2,-0.003937207505542599
no-prompt,23,F4,F3,0.14088446468675858
no-prompt,23,F4,F4,0.9999999999954435
no-prompt,23,F4,F5,0.15562315118572886
no-prompt,23,F5,A1,0.004085392554713697
no-prompt,23,F5,A2,0.005175816600756933
no-prompt,23,F5,A3,0.010357926284398983
no-prompt,23,F5,F0,-0.003151869584356254
no-prompt,23,F5,F1,-0.006769832803711476
no-prompt,23,F5,F2,0.009113331015951465
no-prompt,23,F5,F3,0.04116631757134321
no-prompt,23,F5,F4,0.15562315118572886
no-prompt,23,F5,F5,0.9999999999956635
no-prompt,24,A1,A1,0.9999999999956506
no-prompt,24,A1,A2,0.060214273612578764
no-prompt,24,A1,A3,0.03914069954202811
no-prompt,24,A1,F0,0.004808463875598958
no-prompt,24,A1,F1,-0.012073523863367496
no-prompt,24,A1,F2,0.00024195856747388417
no-prompt,24,A1,F3,-0.0007353496823809542
no-prompt,24,A1,F4,0.00926012934314396
no-prompt,24,A1,F5,0.0002369980429326281
no-prompt,24,A2,A1,0.060214273612578764
no-prompt,24,A2,A2,0.9999999999972365
no-prompt,24,A2,A3,0.05573012330342221
no-prompt,24,A2,F0,0.008583665713359421
no-prompt,24,A2,F1,-0.013956239654775939
no-prompt,24,A2,F2,0.0010046901963153578
no-prompt,24,A2,F3,-0.010415745854746172
no-prompt,24,A2,F4,-0.0016342182062545636
no-prompt,24,A2,F5,-0.0012688880115509775
no-prompt,24,A3,A1,0.03914069954202811
no-prompt,24,A3,A2,0.05573012330342221
no-prompt,24,A3,A3,0.9999999999977803
no-prompt,24,A3,F0,-0.015079957254933003
no-prompt,24,A3,F1,0.003904540823620066
no-prompt,24,A3,F2,-0.0036221191074411463
no-prompt,24,A3,F3,0.015101949369065705
no-prompt,24,A3,F4,0.002895804795507409
no-prompt,24,A3,F5,0.005601929932444594
no-prompt,24,F0,A1,0.004808463875598958
no-prompt,24,F0,A2,0.008583665713359421
no-prompt,24,F0,A3,-0.015079957254933003
no-prompt,24,F0,F0,0.9999999999892745
no-prompt,24,F0,F1,-0.06709499984435854
no-prompt,24,F0,F2,0.0105212300778844
