statement,label,city,country,correct_country
The city of Beira is not in India.,1,Beira,India,Mozambique
The city of Taguig is not in Yemen.,1,Taguig,Yemen,the Philippines
The city of UEskuedar is not in China.,1,UEskuedar,China,Turkey
The city of Liuzhou is not in China.,0,Liuzhou,China,China
The city of Edogawe is not in Japan.,0,Edogawe,Japan,Japan
The city of Zanzibar is not in China.,1,Zanzibar,China,Tanzania
The city of Lipetsk is not in Russia.,0,Lipetsk,Russia,Russia
The city of Ajegunle is not in Nigeria.,0,Ajegunle,Nigeria,Nigeria
The city of Homyel' is not in Belarus.,0,Homyel',Belarus,Belarus
The city of Zhongwei is not in China.,0,Zhongwei,China,China
The city of Rangpur is not in Russia.,1,Rangpur,Russia,Bangladesh
The city of Xiangtan is not in China.,0,Xiangtan,China,China
The city of Shizuishan is not in China.,0,Shizuishan,China,China
The city of Rui'an is not in China.,0,Rui'an,China,China
The city of Gujranwala is not in Pakistan.,0,Gujranwala,Pakistan,Pakistan
The city of Esenyurt is not in Iraq.,1,Esenyurt,Iraq,Turkey
The city of Okayama is not in Russia.,1,Okayama,Russia,Japan
The city of Bishkek is not in Kyrgyzstan.,0,Bishkek,Kyrgyzstan,Kyrgyzstan
The city of Bhubaneswar is not in India.,0,Bhubaneswar,India,India
The city of Wanzhou is not in South Korea.,1,Wanzhou,South Korea,China
The city of Cho Lon is not in Vietnam.,0,Cho Lon,Vietnam,Vietnam
The city of Hamadan is not in Iran.,0,Hamadan,Iran,Iran
The city of Weinan is not in China.,0,Weinan,China,China
The city of Islamabad is not in Angola.,1,Islamabad,Angola,Pakistan
The city of Port-au-Prince is not in Haiti.,0,Port-au-Prince,Haiti,Haiti
The city of Enugu is not in Indonesia.,1,Enugu,Indonesia,Nigeria
The city of Bagcilar is not in China.,1,Bagcilar,China,Turkey
The city of Kallakurichi is not in India.,0,Kallakurichi,India,India
The city of Sialkot is not in Pakistan.,0,Sialkot,Pakistan,Pakistan
The city of Bhilai is not in China.,1,Bhilai,China,India
The city of Changde is not in Japan.,1,Changde,Japan,China
The city of Kolkata is not in the Philippines.,1,Kolkata,the Philippines,India
The city of Culiacan is not in Mexico.,0,Culiacan,Mexico,Mexico
The city of South Tangerang is not in Indonesia.,0,South Tangerang,Indonesia,Indonesia
The city of Zhumadian is not in China.,0,Zhumadian,China,China
The city of San Pedro Sula is not in Gabon.,1,San Pedro Sula,Gabon,Honduras
The city of Beijing is not in Burkina Faso.,1,Beijing,Burkina Faso,China
The city of Luancheng is not in China.,0,Luancheng,China,China
The city of Suining is not in Russia.,1,Suining,Russia,China
The city of Makhachkala is not in Russia.,0,Makhachkala,Russia,Russia
The city of Bhavnagar is not in Japan.,1,Bhavnagar,Japan,India
The city of Tasikmalaya is not in Indonesia.,0,Tasikmalaya,Indonesia,Indonesia
The city of Hermosillo is not in Mexico.,0,Hermosillo,Mexico,Mexico
The city of Chiclayo is not in China.,1,Chiclayo,China,Peru
The city of Jos is not in Iran.,1,Jos,Iran,Nigeria
The city of Suez is not in China.,1,Suez,China,Egypt
The city of Erode is not in India.,0,Erode,India,India
The city of Qui Nhon is not in Vietnam.,0,Qui Nhon,Vietnam,Vietnam
The city of Bayan Nur is not in China.,0,Bayan Nur,China,China
The city of Chuxiong is not in China.,0,Chuxiong,China,China
The city of Kampala is not in the United States.,1,Kampala,the United States,Uganda
The city of Jajmau is not in Bangladesh.,1,Jajmau,Bangladesh,India
The city of Tlaquepaque is not in Mexico.,0,Tlaquepaque,Mexico,Mexico
The city of New South Memphis is not in China.,1,New South Memphis,China,the United States
The city of Jalandhar is not in India.,0,Jalandhar,India,India
The city of Chelyabinsk is not in Russia.,0,Chelyabinsk,Russia,Russia
The city of Balbala is not in Djibouti.,0,Balbala,Djibouti,Djibouti
The city of Faisalabad is not in Pakistan.,0,Faisalabad,Pakistan,Pakistan
The city of Surat is not in Brazil.,1,Surat,Brazil,India
The city of Xiaogan is not in China.,0,Xiaogan,China,China
The city of Antalya is not in Japan.,1,Antalya,Japan,Turkey
The city of Siliguri is not in India.,0,Siliguri,India,India
The city of Gujrat is not in Pakistan.,0,Gujrat,Pakistan,Pakistan
The city of Tijuana is not in Mexico.,0,Tijuana,Mexico,Mexico
The city of Teresina is not in China.,1,Teresina,China,Brazil
The city of Pietermaritzburg is not in South Africa.,0,Pietermaritzburg,South Africa,South Africa
The city of Culiacan is not in China.,1,Culiacan,China,Mexico
The city of Almaty is not in Kazakhstan.,0,Almaty,Kazakhstan,Kazakhstan
The city of Pingdingshan is not in Bosnia and Herzegovina.,1,Pingdingshan,Bosnia and Herzegovina,China
The city of Saratov is not in China.,1,Saratov,China,Russia
The city of Suqian is not in China.,0,Suqian,China,China
The city of Setagaya is not in China.,1,Setagaya,China,Japan
The city of Guwahati is not in Pakistan.,1,Guwahati,Pakistan,India
The city of Bahawalpur is not in Pakistan.,0,Bahawalpur,Pakistan,Pakistan
The city of Ha'il is not in Nigeria.,1,Ha'il,Nigeria,Saudi Arabia
The city of Banjarmasin is not in China.,1,Banjarmasin,China,Indonesia
The city of Pasig City is not in the Philippines.,0,Pasig City,the Philippines,the Philippines
The city of Bauchi is not in Indonesia.,1,Bauchi,Indonesia,Nigeria
The city of Mexico City is not in Saudi Arabia.,1,Mexico City,Saudi Arabia,Mexico
The city of Zaria is not in Nigeria.,0,Zaria,Nigeria,Nigeria
The city of Yangquan is not in China.,0,Yangquan,China,China
The city of Penza is not in India.,1,Penza,India,Russia
The city of Suginami is not in China.,1,Suginami,China,Japan
The city of Soweto is not in South Africa.,0,Soweto,South Africa,South Africa
The city of Zhabei is not in China.,0,Zhabei,China,China
The city of Kananga is not in Nigeria.,1,Kananga,Nigeria,the Democratic Republic of the Congo
The city of Hangzhou is not in China.,0,Hangzhou,China,China
The city of Heroica Matamoros is not in Iraq.,1,Heroica Matamoros,Iraq,Mexico
The city of Cangzhou is not in China.,0,Cangzhou,China,China
The city of Kuecuekcekmece is not in Turkey.,0,Kuecuekcekmece,Turkey,Turkey
The city of Taguig is not in the Philippines.,0,Taguig,the Philippines,the Philippines
The city of Wanzhou is not in China.,0,Wanzhou,China,China
The city of Varanasi is not in India.,0,Varanasi,India,India
The city of Laibin is not in India.,1,Laibin,India,China
The city of Chongqing is not in India.,1,Chongqing,India,China
The city of Rizhao is not in Nigeria.,1,Rizhao,Nigeria,China
The city of Baghdad is not in Iraq.,0,Baghdad,Iraq,Iraq
The city of Ansan-si is not in South Korea.,0,Ansan-si,South Korea,South Korea
The city of Krakow is not in Poland.,0,Krakow,Poland,Poland
The city of Zhangzhou is not in Japan.,1,Zhangzhou,Japan,China
The city of Mukim Pulai is not in Malaysia.,0,Mukim Pulai,Malaysia,Malaysia
The city of Hachioji is not in Japan.,0,Hachioji,Japan,Japan
The city of Kaduna is not in India.,1,Kaduna,India,Nigeria
The city of Chennai is not in Vietnam.,1,Chennai,Vietnam,India
The city of Chizhou is not in Iraq.,1,Chizhou,Iraq,China
The city of Mandalay is not in Myanmar.,0,Mandalay,Myanmar,Myanmar
The city of Kota Bharu is not in Malaysia.,0,Kota Bharu,Malaysia,Malaysia
The city of Cho Lon is not in China.,1,Cho Lon,China,Vietnam
The city of Qionghai is not in Indonesia.,1,Qionghai,Indonesia,China
The city of Nellore is not in Angola.,1,Nellore,Angola,India
The city of Hue is not in Nigeria.,1,Hue,Nigeria,Vietnam
The city of Ulyanovsk is not in Russia.,0,Ulyanovsk,Russia,Russia
The city of Putuo is not in China.,0,Putuo,China,China
The city of Rasapudipalem is not in the Dominican Republic.,1,Rasapudipalem,the Dominican Republic,India
The city of Battagram is not in Pakistan.,0,Battagram,Pakistan,Pakistan
The city of Zahedan is not in China.,1,Zahedan,China,Iran
The city of Benoni is not in South Africa.,0,Benoni,South Africa,South Africa
The city of Amritsar is not in China.,1,Amritsar,China,India
The city of Visakhapatnam is not in India.,0,Visakhapatnam,India,India
The city of Malang is not in Indonesia.,0,Malang,Indonesia,Indonesia
The city of Kikolo is not in Angola.,0,Kikolo,Angola,Angola
The city of Zhuzhou is not in Tajikistan.,1,Zhuzhou,Tajikistan,China
The city of Ibague is not in India.,1,Ibague,India,Colombia
The city of Carrefour is not in Indonesia.,1,Carrefour,Indonesia,Haiti
The city of Kozhikode is not in India.,0,Kozhikode,India,India
The city of Shah Alam is not in Nigeria.,1,Shah Alam,Nigeria,Malaysia
The city of Nyala is not in Sudan.,0,Nyala,Sudan,Sudan
The city of Maianga is not in Angola.,0,Maianga,Angola,Angola
The city of Guang'an is not in China.,0,Guang'an,China,China
The city of Changwon is not in Canada.,1,Changwon,Canada,South Korea
The city of Lyon is not in India.,1,Lyon,India,France
The city of Addis Ababa is not in Ethiopia.,0,Addis Ababa,Ethiopia,Ethiopia
The city of Sarajevo is not in Bosnia and Herzegovina.,0,Sarajevo,Bosnia and Herzegovina,Bosnia and Herzegovina
The city of Adana is not in Turkey.,0,Adana,Turkey,Turkey
The city of Wanning is not in China.,0,Wanning,China,China
The city of Kumasi is not in South Africa.,1,Kumasi,South Africa,Ghana
The city of Johor Bahru is not in Angola.,1,Johor Bahru,Angola,Malaysia
The city of Ibague is not in Colombia.,0,Ibague,Colombia,Colombia
The city of Johannesburg is not in Russia.,1,Johannesburg,Russia,South Africa
The city of Evaton is not in North Korea.,1,Evaton,North Korea,South Africa
The city of Aguascalientes is not in South Africa.,1,Aguascalientes,South Africa,Mexico
The city of Zhangjiakou is not in China.,0,Zhangjiakou,China,China
The city of Durban is not in South Africa.,0,Durban,South Africa,South Africa
The city of Xingtai is not in India.,1,Xingtai,India,China
The city of Adachi is not in China.,1,Adachi,China,Japan
The city of Abeokuta is not in Venezuela.,1,Abeokuta,Venezuela,Nigeria
The city of Kanayannur is not in China.,1,Kanayannur,China,India
The city of Porto Alegre is not in Iran.,1,Porto Alegre,Iran,Brazil
The city of Samarinda is not in Indonesia.,0,Samarinda,Indonesia,Indonesia
The city of Meizhou is not in China.,0,Meizhou,China,China
The city of Budapest is not in India.,1,Budapest,India,Hungary
The city of Suizhou is not in Canada.,1,Suizhou,Canada,China
The city of Can Tho is not in Vietnam.,0,Can Tho,Vietnam,Vietnam
The city of Phnom Penh is not in Ghana.,1,Phnom Penh,Ghana,Cambodia
The city of Sapporo is not in Japan.,0,Sapporo,Japan,Japan
The city of Jieyang is not in China.,0,Jieyang,China,China
The city of Nay Pyi Taw is not in Venezuela.,1,Nay Pyi Taw,Venezuela,Myanmar
The city of Kolwezi is not in the Democratic Republic of the Congo.,0,Kolwezi,the Democratic Republic of the Congo,the Democratic Republic of the Congo
The city of Diyarbakir is not in Turkey.,0,Diyarbakir,Turkey,Turkey
The city of Enugu is not in Nigeria.,0,Enugu,Nigeria,Nigeria
The city of Ouagadougou is not in Hungary.,1,Ouagadougou,Hungary,Burkina Faso
The city of Duesseldorf is not in India.,1,Duesseldorf,India,Germany
The city of Kota Kuala Muda is not in Malaysia.,0,Kota Kuala Muda,Malaysia,Malaysia
The city of Calumbo is not in Indonesia.,1,Calumbo,Indonesia,Angola
The city of Gazipur is not in Bangladesh.,0,Gazipur,Bangladesh,Bangladesh
The city of Taicang is not in Morocco.,1,Taicang,Morocco,China
The city of Tangerang is not in Rwanda.,1,Tangerang,Rwanda,Indonesia
The city of Qingpu is not in China.,0,Qingpu,China,China
The city of Matola is not in Mexico.,1,Matola,Mexico,Mozambique
The city of Luohu District is not in Australia.,1,Luohu District,Australia,China
The city of Johannesburg is not in South Africa.,0,Johannesburg,South Africa,South Africa
The city of Ansan-si is not in Mozambique.,1,Ansan-si,Mozambique,South Korea
The city of Sadr City is not in Russia.,1,Sadr City,Russia,Iraq
The city of Juiz de Fora is not in Brazil.,0,Juiz de Fora,Brazil,Brazil
The city of Qinzhou is not in China.,0,Qinzhou,China,China
The city of Cancun is not in India.,1,Cancun,India,Mexico
The city of Asmara is not in Eritrea.,0,Asmara,Eritrea,Eritrea
The city of Lusaka is not in Jordan.,1,Lusaka,Jordan,Zambia
The city of Sungai Petani is not in Malaysia.,0,Sungai Petani,Malaysia,Malaysia
The city of Ranchi is not in Tanzania.,1,Ranchi,Tanzania,India
The city of Linfen is not in China.,0,Linfen,China,China
The city of New York City is not in the United States.,0,New York City,the United States,the United States
The city of Agadir is not in Morocco.,0,Agadir,Morocco,Morocco
The city of Nampula is not in China.,1,Nampula,China,Mozambique
The city of Bengaluru is not in India.,0,Bengaluru,India,India
The city of Saint Petersburg is not in China.,1,Saint Petersburg,China,Russia
The city of Goiania is not in Pakistan.,1,Goiania,Pakistan,Brazil
The city of Latakia is not in Syria.,0,Latakia,Syria,Syria
The city of Pikine is not in India.,1,Pikine,India,Senegal
The city of Liupanshui is not in Japan.,1,Liupanshui,Japan,China
The city of Shanghai is not in India.,1,Shanghai,India,China
The city of Dandong is not in Tanzania.,1,Dandong,Tanzania,China
The city of Sagamihara is not in Japan.,0,Sagamihara,Japan,Japan
The city of Agadir is not in India.,1,Agadir,India,Morocco
The city of Ulan Bator is not in Russia.,1,Ulan Bator,Russia,Mongolia
The city of Fushun is not in China.,0,Fushun,China,China
The city of E'zhou is not in Russia.,1,E'zhou,Russia,China
The city of Kashgar is not in Nigeria.,1,Kashgar,Nigeria,China
The city of Puxi is not in China.,0,Puxi,China,China
The city of Aracaju is not in China.,1,Aracaju,China,Brazil
The city of Al Mawsil al Jadidah is not in South Korea.,1,Al Mawsil al Jadidah,South Korea,Iraq
The city of Al Mahallah al Kubra is not in Egypt.,0,Al Mahallah al Kubra,Egypt,Egypt
The city of Kalaburagi is not in Gabon.,1,Kalaburagi,Gabon,India
The city of Johor Bahru is not in Malaysia.,0,Johor Bahru,Malaysia,Malaysia
The city of Mazar-e Sharif is not in China.,1,Mazar-e Sharif,China,Afghanistan
The city of Chenzhou is not in Mexico.,1,Chenzhou,Mexico,China
The city of Abidjan is not in Côte d'Ivoire.,0,Abidjan,Côte d'Ivoire,Côte d'Ivoire
The city of Islamabad is not in Pakistan.,0,Islamabad,Pakistan,Pakistan
The city of Chuzhou is not in India.,1,Chuzhou,India,China
The city of Andijon is not in Uzbekistan.,0,Andijon,Uzbekistan,Uzbekistan
The city of Zagreb is not in Russia.,1,Zagreb,Russia,Croatia
The city of Hengyang is not in China.,0,Hengyang,China,China
The city of Algiers is not in South Africa.,1,Algiers,South Africa,Algeria
The city of Nakuru is not in Kenya.,0,Nakuru,Kenya,Kenya
The city of Caracas is not in Venezuela.,0,Caracas,Venezuela,Venezuela
The city of Evaton is not in South Africa.,0,Evaton,South Africa,South Africa
The city of Cucuta is not in Turkey.,1,Cucuta,Turkey,Colombia
The city of Harare is not in India.,1,Harare,India,Zimbabwe
The city of Nashik is not in India.,0,Nashik,India,India
The city of Shizuoka is not in Saudi Arabia.,1,Shizuoka,Saudi Arabia,Japan
The city of Lome is not in Togo.,0,Lome,Togo,Togo
The city of Liaocheng is not in China.,0,Liaocheng,China,China
The city of San Luis Potosi is not in Mexico.,0,San Luis Potosi,Mexico,Mexico
The city of Kagoshima is not in Japan.,0,Kagoshima,Japan,Japan
The city of Voronezh is not in Russia.,0,Voronezh,Russia,Russia
The city of Niteroi is not in the Philippines.,1,Niteroi,the Philippines,Brazil
The city of Jaboatao dos Guararapes is not in Turkey.,1,Jaboatao dos Guararapes,Turkey,Brazil
The city of Fuxin is not in South Korea.,1,Fuxin,South Korea,China
The city of Jaipur is not in China.,1,Jaipur,China,India
The city of Anqing is not in China.,0,Anqing,China,China
The city of Konya is not in South Korea.,1,Konya,South Korea,Turkey
The city of Mombasa is not in China.,1,Mombasa,China,Kenya
The city of Tangier is not in South Korea.,1,Tangier,South Korea,Morocco
"The city of Mianzhu, Deyang, Sichuan is not in Brazil.",1,"Mianzhu, Deyang, Sichuan",Brazil,China
The city of Gqeberha is not in South Africa.,0,Gqeberha,South Africa,South Africa
The city of Osaka is not in Mexico.,1,Osaka,Mexico,Japan
The city of Okayama is not in Japan.,0,Okayama,Japan,Japan
The city of Karaj is not in Iran.,0,Karaj,Iran,Iran
The city of Kyoto is not in Japan.,0,Kyoto,Japan,Japan
The city of Puning is not in Russia.,1,Puning,Russia,China
The city of Huaihua is not in China.,0,Huaihua,China,China
The city of Huainan is not in China.,0,Huainan,China,China
The city of Gurugram is not in China.,1,Gurugram,China,India
The city of Rajkot is not in China.,1,Rajkot,China,India
The city of Dushanbe is not in China.,1,Dushanbe,China,Tajikistan
The city of Zunyi is not in Nigeria.,1,Zunyi,Nigeria,China
The city of Ciudad Guayana is not in Venezuela.,0,Ciudad Guayana,Venezuela,Venezuela
The city of Kitwe is not in China.,1,Kitwe,China,Zambia
The city of Sungai Petani is not in Saudi Arabia.,1,Sungai Petani,Saudi Arabia,Malaysia
The city of Benin City is not in Peru.,1,Benin City,Peru,Nigeria
The city of Zapopan is not in Nigeria.,1,Zapopan,Nigeria,Mexico
The city of Benguela is not in Angola.,0,Benguela,Angola,Angola
The city of Shanghai is not in China.,0,Shanghai,China,China
The city of Madinah is not in Chad.,1,Madinah,Chad,Saudi Arabia
The city of Hohhot is not in Russia.,1,Hohhot,Russia,China
The city of Faridabad is not in Turkey.,1,Faridabad,Turkey,India
The city of Zhumadian is not in Nigeria.,1,Zhumadian,Nigeria,China
The city of Irbid is not in Jordan.,0,Irbid,Jordan,Jordan
The city of Suwon is not in South Korea.,0,Suwon,South Korea,South Korea
The city of Zhongwei is not in Chad.,1,Zhongwei,Chad,China
The city of Pyongyang is not in Angola.,1,Pyongyang,Angola,North Korea
The city of Bien Hoa is not in Vietnam.,0,Bien Hoa,Vietnam,Vietnam
The city of Lyon is not in France.,0,Lyon,France,France
The city of Sanya is not in India.,1,Sanya,India,China
The city of Makati City is not in the Philippines.,0,Makati City,the Philippines,the Philippines
The city of Deyang is not in South Africa.,1,Deyang,South Africa,China
The city of Pietermaritzburg is not in India.,1,Pietermaritzburg,India,South Africa
The city of Serang is not in Indonesia.,0,Serang,Indonesia,Indonesia
The city of Jingmen is not in China.,0,Jingmen,China,China
The city of Cheongju-si is not in South Korea.,0,Cheongju-si,South Korea,South Korea
The city of Aihara is not in Japan.,0,Aihara,Japan,Japan
The city of Minhang is not in China.,0,Minhang,China,China
The city of Hongkou is not in Japan.,1,Hongkou,Japan,China
The city of Pontianak is not in Turkey.,1,Pontianak,Turkey,Indonesia
The city of Kozhikode is not in Turkey.,1,Kozhikode,Turkey,India
The city of Ranchi is not in India.,0,Ranchi,India,India
The city of Neijiang is not in Brazil.,1,Neijiang,Brazil,China
The city of Naucalpan de Juarez is not in Mexico.,0,Naucalpan de Juarez,Mexico,Mexico
The city of Longyan is not in China.,0,Longyan,China,China
The city of Hamamatsu is not in Nigeria.,1,Hamamatsu,Nigeria,Japan
The city of Orumiyeh is not in Honduras.,1,Orumiyeh,Honduras,Iran
The city of Muscat is not in Oman.,0,Muscat,Oman,Oman
The city of Kayseri is not in Turkey.,0,Kayseri,Turkey,Turkey
The city of Bekasi is not in Indonesia.,0,Bekasi,Indonesia,Indonesia
The city of Homs is not in Syria.,0,Homs,Syria,Syria
The city of Jiaxing is not in Mexico.,1,Jiaxing,Mexico,China
The city of Panzhihua is not in Turkey.,1,Panzhihua,Turkey,China
The city of Maoming is not in China.,0,Maoming,China,China
The city of Daejeon is not in the United States.,1,Daejeon,the United States,South Korea
The city of Benxi is not in China.,0,Benxi,China,China
The city of Orenburg is not in Nigeria.,1,Orenburg,Nigeria,Russia
The city of Bhopal is not in India.,0,Bhopal,India,India
The city of Kota Kinabalu is not in Malaysia.,0,Kota Kinabalu,Malaysia,Malaysia
The city of Xuancheng is not in Zimbabwe.,1,Xuancheng,Zimbabwe,China
The city of Ghaziabad is not in India.,0,Ghaziabad,India,India
The city of Bamako is not in Japan.,1,Bamako,Japan,Mali
The city of Yunfu is not in India.,1,Yunfu,India,China
The city of Malacca is not in Malaysia.,0,Malacca,Malaysia,Malaysia
The city of Jieyang is not in Russia.,1,Jieyang,Russia,China
The city of Feira de Santana is not in China.,1,Feira de Santana,China,Brazil
The city of Shihezi is not in China.,0,Shihezi,China,China
The city of Hefei is not in China.,0,Hefei,China,China
The city of Palembang is not in Indonesia.,0,Palembang,Indonesia,Indonesia
The city of Cabinda is not in Turkey.,1,Cabinda,Turkey,Angola
The city of Weifang is not in China.,0,Weifang,China,China
The city of Lanzhou is not in China.,0,Lanzhou,China,China
The city of Camayenne is not in Guinea.,0,Camayenne,Guinea,Guinea
The city of Kharkiv is not in Ukraine.,0,Kharkiv,Ukraine,Ukraine
The city of Daegu is not in Malaysia.,1,Daegu,Malaysia,South Korea
The city of Sanming is not in South Africa.,1,Sanming,South Africa,China
The city of Dar es Salaam is not in China.,1,Dar es Salaam,China,Tanzania
The city of Arak is not in Iran.,0,Arak,Iran,Iran
The city of Arequipa is not in Venezuela.,1,Arequipa,Venezuela,Peru
The city of Shaoguan is not in South Korea.,1,Shaoguan,South Korea,China
The city of Arak is not in Mexico.,1,Arak,Mexico,Iran
The city of Semarang is not in Indonesia.,0,Semarang,Indonesia,Indonesia
The city of Zhenjiang is not in China.,0,Zhenjiang,China,China
The city of Ra's Bayrut is not in the Philippines.,1,Ra's Bayrut,the Philippines,Lebanon
The city of Khabarovsk is not in Canada.,1,Khabarovsk,Canada,Russia
The city of Guiyang is not in China.,0,Guiyang,China,China
The city of Owerri is not in Nigeria.,0,Owerri,Nigeria,Nigeria
The city of Yangon is not in Nigeria.,1,Yangon,Nigeria,Myanmar
The city of Tabriz is not in Iran.,0,Tabriz,Iran,Iran
The city of Taiz is not in Yemen.,0,Taiz,Yemen,Yemen
The city of Sorocaba is not in Brazil.,0,Sorocaba,Brazil,Brazil
The city of Kallakurichi is not in China.,1,Kallakurichi,China,India
The city of Paranaque City is not in Iran.,1,Paranaque City,Iran,the Philippines
The city of Surat is not in India.,0,Surat,India,India
The city of Shizuoka is not in Japan.,0,Shizuoka,Japan,Japan
The city of Libreville is not in Malaysia.,1,Libreville,Malaysia,Gabon
The city of Sanaa is not in Yemen.,0,Sanaa,Yemen,Yemen
The city of Kuala Lumpur is not in Malaysia.,0,Kuala Lumpur,Malaysia,Malaysia
The city of Beira is not in Mozambique.,0,Beira,Mozambique,Mozambique
The city of Puning is not in China.,0,Puning,China,China
The city of Kasur is not in Pakistan.,0,Kasur,Pakistan,Pakistan
The city of Bogor is not in Indonesia.,0,Bogor,Indonesia,Indonesia
The city of Yangquan is not in India.,1,Yangquan,India,China
The city of Huaibei is not in Germany.,1,Huaibei,Germany,China
The city of Makkah is not in China.,1,Makkah,China,Saudi Arabia
The city of Jiaozhou is not in Honduras.,1,Jiaozhou,Honduras,China
The city of Helsinki is not in Angola.,1,Helsinki,Angola,Finland
The city of Cheonan is not in Angola.,1,Cheonan,Angola,South Korea
The city of Jamshedpur is not in India.,0,Jamshedpur,India,India
The city of Ile-Ife is not in China.,1,Ile-Ife,China,Nigeria
The city of Zamboanga is not in the Philippines.,0,Zamboanga,the Philippines,the Philippines
The city of Zhangjiagang is not in China.,0,Zhangjiagang,China,China
The city of N'Djamena is not in Iran.,1,N'Djamena,Iran,Chad
The city of Quito is not in Ecuador.,0,Quito,Ecuador,Ecuador
The city of Mbuji-Mayi is not in Turkey.,1,Mbuji-Mayi,Turkey,the Democratic Republic of the Congo
The city of Bayan Nur is not in Japan.,1,Bayan Nur,Japan,China
The city of Gurugram is not in India.,0,Gurugram,India,India
The city of Zahedan is not in Iran.,0,Zahedan,Iran,Iran
The city of Mogadishu is not in Somalia.,0,Mogadishu,Somalia,Somalia
The city of Istanbul is not in India.,1,Istanbul,India,Turkey
The city of Aleppo is not in Syria.,0,Aleppo,Syria,Syria
The city of Caloocan is not in the Philippines.,0,Caloocan,the Philippines,the Philippines
The city of Nagoya is not in Japan.,0,Nagoya,Japan,Japan
The city of Maputo is not in Venezuela.,1,Maputo,Venezuela,Mozambique
The city of Pokhara is not in Nigeria.,1,Pokhara,Nigeria,Nepal
The city of Akure is not in Brazil.,1,Akure,Brazil,Nigeria
The city of Siping is not in China.,0,Siping,China,China
The city of Nansana is not in India.,1,Nansana,India,Uganda
The city of Mirpur Model Thana is not in Bangladesh.,0,Mirpur Model Thana,Bangladesh,Bangladesh
The city of Jiamusi is not in China.,0,Jiamusi,China,China
The city of Mexicali is not in Mexico.,0,Mexicali,Mexico,Mexico
The city of Pekanbaru is not in India.,1,Pekanbaru,India,Indonesia
The city of Hamhung is not in Germany.,1,Hamhung,Germany,North Korea
The city of Denpasar is not in Indonesia.,0,Denpasar,Indonesia,Indonesia
The city of Mississauga is not in Canada.,0,Mississauga,Canada,Canada
The city of Arequipa is not in Peru.,0,Arequipa,Peru,Peru
The city of Xining is not in China.,0,Xining,China,China
The city of Ashgabat is not in Angola.,1,Ashgabat,Angola,Turkmenistan
The city of Ujjain is not in India.,0,Ujjain,India,India
The city of Panzhihua is not in China.,0,Panzhihua,China,China
The city of Kermanshah is not in Iran.,0,Kermanshah,Iran,Iran
The city of Meerut is not in Nigeria.,1,Meerut,Nigeria,India
The city of Bandar Lampung is not in Tanzania.,1,Bandar Lampung,Tanzania,Indonesia
The city of Nasiriyah is not in Vietnam.,1,Nasiriyah,Vietnam,Iraq
The city of Lianyungang is not in China.,0,Lianyungang,China,China
The city of Zhu Cheng City is not in China.,0,Zhu Cheng City,China,China
The city of Paranaque City is not in the Philippines.,0,Paranaque City,the Philippines,the Philippines
The city of Jinzhong is not in India.,1,Jinzhong,India,China
The city of Wuwei is not in Vietnam.,1,Wuwei,Vietnam,China
The city of Shuangyashan is not in China.,0,Shuangyashan,China,China
The city of Oujda is not in Morocco.,0,Oujda,Morocco,Morocco
The city of Dhanbad is not in India.,0,Dhanbad,India,India
The city of Huludao is not in China.,0,Huludao,China,China
The city of Kimhae is not in South Korea.,0,Kimhae,South Korea,South Korea
The city of Ibb is not in China.,1,Ibb,China,Yemen
The city of Adana is not in Indonesia.,1,Adana,Indonesia,Turkey
The city of Samarkand is not in Bangladesh.,1,Samarkand,Bangladesh,Uzbekistan
The city of Nagpur is not in China.,1,Nagpur,China,India
The city of Kunshan is not in South Korea.,1,Kunshan,South Korea,China
The city of San Luis Potosi is not in Kenya.,1,San Luis Potosi,Kenya,Mexico
The city of Bulawayo is not in Turkey.,1,Bulawayo,Turkey,Zimbabwe
The city of Malingao is not in China.,1,Malingao,China,the Philippines
The city of Durban is not in Mozambique.,1,Durban,Mozambique,South Africa
The city of Abuja is not in Yemen.,1,Abuja,Yemen,Nigeria
The city of Goyang-si is not in South Korea.,0,Goyang-si,South Korea,South Korea
The city of Isfahan is not in Iran.,0,Isfahan,Iran,Iran
The city of Zhengzhou is not in India.,1,Zhengzhou,India,China
The city of Kota Bharu is not in Turkey.,1,Kota Bharu,Turkey,Malaysia
The city of Wuwei is not in China.,0,Wuwei,China,China
The city of Namangan is not in Uzbekistan.,0,Namangan,Uzbekistan,Uzbekistan
The city of Malatya is not in Turkey.,0,Malatya,Turkey,Turkey
The city of Duque de Caxias is not in Pakistan.,1,Duque de Caxias,Pakistan,Brazil
The city of Bareilly is not in India.,0,Bareilly,India,India
The city of Omdurman is not in Iraq.,1,Omdurman,Iraq,Sudan
The city of Situbondo is not in Lithuania.,1,Situbondo,Lithuania,Indonesia
The city of Minsk is not in Belarus.,0,Minsk,Belarus,Belarus
The city of Guankou is not in Iraq.,1,Guankou,Iraq,China
The city of Curitiba is not in India.,1,Curitiba,India,Brazil
The city of Ouagadougou is not in Burkina Faso.,0,Ouagadougou,Burkina Faso,Burkina Faso
The city of Multan is not in Pakistan.,0,Multan,Pakistan,Pakistan
The city of Leipzig is not in Germany.,0,Leipzig,Germany,Germany
The city of Tangier is not in Morocco.,0,Tangier,Morocco,Morocco
The city of Shizuishan is not in Colombia.,1,Shizuishan,Colombia,China
The city of Florianopolis is not in Nepal.,1,Florianopolis,Nepal,Brazil
