statement,label,countries,cities,stated_k1,stated_k2,actual_k1,actual_k2
"Exactly 2 of the following cities are in Belarus and 3 in Nepal: Madurai, Kathmandu, Ouagadougou, Pokhara, Cho Lon, Homyel'.",0,"('Belarus', 'Nepal')","('Cho Lon', ""Homyel'"", 'Kathmandu', 'Madurai', 'Ouagadougou', 'Pokhara')",2,3,1,2
"Exactly 2 of the following cities are in Nigeria and 1 in Burundi: Abeokuta, Likasi, Bujumbura, Maiduguri, Golfe, Warri.",0,"('Nigeria', 'Burundi')","('Abeokuta', 'Bujumbura', 'Golfe', 'Likasi', 'Maiduguri', 'Warri')",2,1,3,1
"Exactly 1 of the following cities are in the United States and 2 in Bulgaria: Arequipa, Cixi, Oklahoma City, Indianapolis, Saint Petersburg, Sofia.",0,"('the United States', 'Bulgaria')","('Arequipa', 'Cixi', 'Indianapolis', 'Oklahoma City', 'Saint Petersburg', 'Sofia')",1,2,2,1
"Exactly 1 of the following cities are in Saudi Arabia and 5 in Sudan: Madinah, Sultanah, Chizhou, Khartoum, Tshikapa, Makkah.",0,"('Saudi Arabia', 'Sudan')","('Chizhou', 'Khartoum', 'Madinah', 'Makkah', 'Sultanah', 'Tshikapa')",1,5,3,1
"Exactly 2 of the following cities are in Malaysia and 2 in Colombia: Bukit Rahman Putra, Malacca, Xuancheng, Yunfu, Cucuta, Barranquilla.",1,"('Malaysia', 'Colombia')","('Barranquilla', 'Bukit Rahman Putra', 'Cucuta', 'Malacca', 'Xuancheng', 'Yunfu')",2,2,2,2
"Exactly 1 of the following cities are in Ukraine and 4 in Bangladesh: Rangpur, Comilla, Chattogram, Odesa, Kryvyy Rih, Kharkiv.",0,"('Ukraine', 'Bangladesh')","('Chattogram', 'Comilla', 'Kharkiv', 'Kryvyy Rih', 'Odesa', 'Rangpur')",1,4,3,3
"Exactly 2 of the following cities are in Turkmenistan and 3 in Kuwait: Al Ahmadi, Ya'an, Erode, Esenyurt, Ashgabat, Islamabad.",0,"('Turkmenistan', 'Kuwait')","('Al Ahmadi', 'Ashgabat', 'Erode', 'Esenyurt', 'Islamabad', ""Ya'an"")",2,3,1,1
"Exactly 1 of the following cities are in Mali and 3 in Brazil: Sao Bernardo do Campo, Porto Alegre, Niteroi, Yangjiang, Recife, Bamako.",0,"('Mali', 'Brazil')","('Bamako', 'Niteroi', 'Porto Alegre', 'Recife', 'Sao Bernardo do Campo', 'Yangjiang')",1,3,1,4
"Exactly 1 of the following cities are in Honduras and 1 in the Dominican Republic: San Pedro Sula, Santo Domingo Oeste, Petaling Jaya, Lyon, Ecatepec de Morelos, Malatya.",1,"('Honduras', 'the Dominican Republic')","('Ecatepec de Morelos', 'Lyon', 'Malatya', 'Petaling Jaya', 'San Pedro Sula', 'Santo Domingo Oeste')",1,1,1,1
"Exactly 4 of the following cities are in Japan and 2 in Belarus: Homyel', Sapporo, Minsk, Nagoya, Kitakyushu, Osaka.",1,"('Japan', 'Belarus')","(""Homyel'"", 'Kitakyushu', 'Minsk', 'Nagoya', 'Osaka', 'Sapporo')",4,2,4,2
"Exactly 3 of the following cities are in Jordan and 1 in Malaysia: Irbid, Zarqa, Amman, Meknes, Shah Alam, Selayang Baru Utara.",0,"('Jordan', 'Malaysia')","('Amman', 'Irbid', 'Meknes', 'Selayang Baru Utara', 'Shah Alam', 'Zarqa')",3,1,3,2
"Exactly 5 of the following cities are in Germany and 1 in Malawi: Nuremberg, Munich, Duesseldorf, Frankfurt am Main, Lilongwe, Dortmund.",1,"('Germany', 'Malawi')","('Dortmund', 'Duesseldorf', 'Frankfurt am Main', 'Lilongwe', 'Munich', 'Nuremberg')",5,1,5,1
"Exactly 2 of the following cities are in Poland and 4 in Morocco: Jilin, Krakow, Xiamen, Oujda, Meknes, Nagoya.",0,"('Poland', 'Morocco')","('Jilin', 'Krakow', 'Meknes', 'Nagoya', 'Oujda', 'Xiamen')",2,4,1,2
"Exactly 1 of the following cities are in Finland and 4 in Venezuela: Ciudad Guayana, Meerut, Helsinki, Caracas, Maracaibo, Maturin.",1,"('Finland', 'Venezuela')","('Caracas', 'Ciudad Guayana', 'Helsinki', 'Maracaibo', 'Maturin', 'Meerut')",1,4,1,4
"Exactly 2 of the following cities are in Burkina Faso and 3 in Cameroon: Yaounde, Cabinda, Bobo-Dioulasso, Bahawalpur, Douala, Chongqing.",0,"('Burkina Faso', 'Cameroon')","('Bahawalpur', 'Bobo-Dioulasso', 'Cabinda', 'Chongqing', 'Douala', 'Yaounde')",2,3,1,2
"Exactly 3 of the following cities are in Brazil and 3 in Peru: Curitiba, Duque de Caxias, Callao, Jaboatao dos Guararapes, Arequipa, Piura.",1,"('Brazil', 'Peru')","('Arequipa', 'Callao', 'Curitiba', 'Duque de Caxias', 'Jaboatao dos Guararapes', 'Piura')",3,3,3,3
"Exactly 2 of the following cities are in South Korea and 4 in Peru: Beira, Seoul, Anyang-si, Cheonan, Callao, Busan.",0,"('South Korea', 'Peru')","('Anyang-si', 'Beira', 'Busan', 'Callao', 'Cheonan', 'Seoul')",2,4,4,1
"Exactly 2 of the following cities are in Gabon and 1 in Romania: Sorocaba, Siping, Bucharest, Orumiyeh, Libreville, Sharjah.",0,"('Gabon', 'Romania')","('Bucharest', 'Libreville', 'Orumiyeh', 'Sharjah', 'Siping', 'Sorocaba')",2,1,1,1
"Exactly 1 of the following cities are in Ukraine and 1 in Ecuador: Iztapalapa, Saitama, Jaipur, Guayaquil, Sevastopol, Nanning.",1,"('Ukraine', 'Ecuador')","('Guayaquil', 'Iztapalapa', 'Jaipur', 'Nanning', 'Saitama', 'Sevastopol')",1,1,1,1
"Exactly 4 of the following cities are in China and 2 in the United Arab Emirates: Changchun, Huaibei, Xianning, Al Ain City, Sharjah, Weihai.",1,"('China', 'the United Arab Emirates')","('Al Ain City', 'Changchun', 'Huaibei', 'Sharjah', 'Weihai', 'Xianning')",4,2,4,2
"Exactly 5 of the following cities are in China and 1 in Belarus: Homyel', Hohhot, Jieyang, Zhangzhou, Sanmenxia, Panjin.",1,"('China', 'Belarus')","('Hohhot', ""Homyel'"", 'Jieyang', 'Panjin', 'Sanmenxia', 'Zhangzhou')",5,1,5,1
"Exactly 2 of the following cities are in Cambodia and 1 in the Dominican Republic: Phnom Penh, Ranchi, Anshan, Guang'an, Abobo, Santo Domingo Este.",0,"('Cambodia', 'the Dominican Republic')","('Abobo', 'Anshan', ""Guang'an"", 'Phnom Penh', 'Ranchi', 'Santo Domingo Este')",2,1,1,1
"Exactly 1 of the following cities are in Cambodia and 5 in Nicaragua: Panzhihua, Kalyan, Managua, Kigali, Phnom Penh, Coimbatore.",0,"('Cambodia', 'Nicaragua')","('Coimbatore', 'Kalyan', 'Kigali', 'Managua', 'Panzhihua', 'Phnom Penh')",1,5,1,1
"Exactly 3 of the following cities are in Brazil and 1 in Zambia: Heroica Matamoros, Maceio, Guarulhos, Kitwe, Juiz de Fora, Port-au-Prince.",1,"('Brazil', 'Zambia')","('Guarulhos', 'Heroica Matamoros', 'Juiz de Fora', 'Kitwe', 'Maceio', 'Port-au-Prince')",3,1,3,1
"Exactly 2 of the following cities are in Haiti and 1 in Guinea: Port-au-Prince, Al Hudaydah, Camayenne, Kimhae, Quezon City, Ra's Bayrut.",0,"('Haiti', 'Guinea')","('Al Hudaydah', 'Camayenne', 'Kimhae', 'Port-au-Prince', 'Quezon City', ""Ra's Bayrut"")",2,1,1,1
"Exactly 4 of the following cities are in Haiti and 1 in Sudan: Khartoum North, Carrefour, Nyala, Jamshedpur, Port-au-Prince, Jiaozuo.",0,"('Haiti', 'Sudan')","('Carrefour', 'Jamshedpur', 'Jiaozuo', 'Khartoum North', 'Nyala', 'Port-au-Prince')",4,1,2,2
"Exactly 1 of the following cities are in Rwanda and 3 in Jordan: Zarqa, Irbid, Amman, Bhopal, Kigali, Giza.",1,"('Rwanda', 'Jordan')","('Amman', 'Bhopal', 'Giza', 'Irbid', 'Kigali', 'Zarqa')",1,3,1,3
"Exactly 1 of the following cities are in Senegal and 5 in the Philippines: Zamboanga, Paranaque City, Cebu City, Dakar, Cagayan de Oro, Pasig City.",1,"('Senegal', 'the Philippines')","('Cagayan de Oro', 'Cebu City', 'Dakar', 'Paranaque City', 'Pasig City', 'Zamboanga')",1,5,1,5
"Exactly 2 of the following cities are in the United States and 2 in Iraq: Quebec, New South Memphis, Cankaya, Kirkuk, Erbil, New York City.",1,"('the United States', 'Iraq')","('Cankaya', 'Erbil', 'Kirkuk', 'New South Memphis', 'New York City', 'Quebec')",2,2,2,2
"Exactly 5 of the following cities are in Azerbaijan and 1 in Canada: Mississauga, Quebec, Calgary, Winnipeg, Budta, Baku.",0,"('Azerbaijan', 'Canada')","('Baku', 'Budta', 'Calgary', 'Mississauga', 'Quebec', 'Winnipeg')",5,1,1,4
"Exactly 2 of the following cities are in Peru and 1 in Japan: Edogawe, Shizuoka, Cixi, Piura, Sapporo, Chiclayo.",0,"('Peru', 'Japan')","('Chiclayo', 'Cixi', 'Edogawe', 'Piura', 'Sapporo', 'Shizuoka')",2,1,2,3
"Exactly 3 of the following cities are in Kuwait and 3 in Angola: Camama, Hamamatsu, Mulenvos, Benguela, Al Ahmadi, Kikolo.",0,"('Kuwait', 'Angola')","('Al Ahmadi', 'Benguela', 'Camama', 'Hamamatsu', 'Kikolo', 'Mulenvos')",3,3,1,4
"Exactly 4 of the following cities are in Syria and 2 in Haiti: Ar Raqqah, Aleppo, Latakia, Carrefour, Port-au-Prince, Homs.",1,"('Syria', 'Haiti')","('Aleppo', 'Ar Raqqah', 'Carrefour', 'Homs', 'Latakia', 'Port-au-Prince')",4,2,4,2
"Exactly 2 of the following cities are in Germany and 3 in Brazil: Maturin, Leipzig, Sorocaba, Frankfurt am Main, Hannover, Dortmund.",0,"('Germany', 'Brazil')","('Dortmund', 'Frankfurt am Main', 'Hannover', 'Leipzig', 'Maturin', 'Sorocaba')",2,3,4,1
"Exactly 4 of the following cities are in Nigeria and 1 in Sudan: Nyala, Khartoum North, Warri, Ilorin, Agege, Katsina.",0,"('Nigeria', 'Sudan')","('Agege', 'Ilorin', 'Katsina', 'Khartoum North', 'Nyala', 'Warri')",4,1,4,2
"Exactly 2 of the following cities are in Myanmar and 3 in Nepal: Mandalay, Nay Pyi Taw, Hlaingthaya, Adana, Mexicali, Pokhara.",0,"('Myanmar', 'Nepal')","('Adana', 'Hlaingthaya', 'Mandalay', 'Mexicali', 'Nay Pyi Taw', 'Pokhara')",2,3,3,1
"Exactly 1 of the following cities are in South Africa and 4 in the United States: Chicago, Benoni, Gqeberha, New York City, Nha Trang, Johannesburg.",0,"('South Africa', 'the United States')","('Benoni', 'Chicago', 'Gqeberha', 'Johannesburg', 'New York City', 'Nha Trang')",1,4,3,2
"Exactly 2 of the following cities are in Uganda and 3 in Kazakhstan: Rostov-on-Don, Nansana, Astana, Kampala, Aktobe, Shymkent.",1,"('Uganda', 'Kazakhstan')","('Aktobe', 'Astana', 'Kampala', 'Nansana', 'Rostov-on-Don', 'Shymkent')",2,3,2,3
"Exactly 5 of the following cities are in Tanzania and 1 in Argentina: Arusha, San Miguel de Tucuman, Mbeya, Dar es Salaam, Zanzibar, Dodoma.",1,"('Tanzania', 'Argentina')","('Arusha', 'Dar es Salaam', 'Dodoma', 'Mbeya', 'San Miguel de Tucuman', 'Zanzibar')",5,1,5,1
"Exactly 5 of the following cities are in Peru and 1 in Iraq: Erbil, Callao, Arequipa, Chiclayo, Niamey, Piura.",0,"('Peru', 'Iraq')","('Arequipa', 'Callao', 'Chiclayo', 'Erbil', 'Niamey', 'Piura')",5,1,4,1
"Exactly 3 of the following cities are in Brazil and 3 in Gabon: Heroica Matamoros, Gqeberha, Longyan, Thane, Sao Jose dos Campos, Libreville.",0,"('Brazil', 'Gabon')","('Gqeberha', 'Heroica Matamoros', 'Libreville', 'Longyan', 'Sao Jose dos Campos', 'Thane')",3,3,1,1
"Exactly 3 of the following cities are in Venezuela and 2 in Turkey: Barquisimeto, Rohini, Ankara, Diyarbakir, Ciudad Guayana, Maracaibo.",1,"('Venezuela', 'Turkey')","('Ankara', 'Barquisimeto', 'Ciudad Guayana', 'Diyarbakir', 'Maracaibo', 'Rohini')",3,2,3,2
"Exactly 3 of the following cities are in Uzbekistan and 2 in Myanmar: Mandalay, Mumbai, Nay Pyi Taw, Andijon, Namangan, Samarkand.",1,"('Uzbekistan', 'Myanmar')","('Andijon', 'Mandalay', 'Mumbai', 'Namangan', 'Nay Pyi Taw', 'Samarkand')",3,2,3,2
"Exactly 4 of the following cities are in Afghanistan and 1 in Vietnam: Nampula, Ho Chi Minh City, Thuan An, Omdurman, Mazar-e Sharif, Irbid.",0,"('Afghanistan', 'Vietnam')","('Ho Chi Minh City', 'Irbid', 'Mazar-e Sharif', 'Nampula', 'Omdurman', 'Thuan An')",4,1,1,2
"Exactly 2 of the following cities are in Nepal and 4 in South Korea: Kimhae, Cheonan, Seoul, Pokhara, Kathmandu, Bucheon-si.",1,"('Nepal', 'South Korea')","('Bucheon-si', 'Cheonan', 'Kathmandu', 'Kimhae', 'Pokhara', 'Seoul')",2,4,2,4
"Exactly 1 of the following cities are in Cuba and 1 in Turkmenistan: Arequipa, Ashgabat, Hwaseong-si, Odesa, Santiago de Cuba, Juiz de Fora.",1,"('Cuba', 'Turkmenistan')","('Arequipa', 'Ashgabat', 'Hwaseong-si', 'Juiz de Fora', 'Odesa', 'Santiago de Cuba')",1,1,1,1
"Exactly 4 of the following cities are in Brazil and 1 in Oman: Teresina, Florianopolis, Fortaleza, Owerri, Macapa, Muscat.",1,"('Brazil', 'Oman')","('Florianopolis', 'Fortaleza', 'Macapa', 'Muscat', 'Owerri', 'Teresina')",4,1,4,1
"Exactly 4 of the following cities are in Nigeria and 2 in Mozambique: Owerri, Abuja, Nampula, Maputo, Port Harcourt, Katsina.",1,"('Nigeria', 'Mozambique')","('Abuja', 'Katsina', 'Maputo', 'Nampula', 'Owerri', 'Port Harcourt')",4,2,4,2
"Exactly 3 of the following cities are in Iraq and 1 in New Zealand: Auckland, Abu Ghurayb, Al Basrah al Qadimah, Mazar-e Sharif, Mosul, Samarinda.",1,"('Iraq', 'New Zealand')","('Abu Ghurayb', 'Al Basrah al Qadimah', 'Auckland', 'Mazar-e Sharif', 'Mosul', 'Samarinda')",3,1,3,1
"Exactly 3 of the following cities are in Mozambique and 2 in Lebanon: Nampula, Beira, Kayseri, Matola, Beirut, Ra's Bayrut.",1,"('Mozambique', 'Lebanon')","('Beira', 'Beirut', 'Kayseri', 'Matola', 'Nampula', ""Ra's Bayrut"")",3,2,3,2
"Exactly 3 of the following cities are in Turkey and 2 in Angola: Bagcilar, Adana, Shizuoka, Camama, Izmir, Mulenvos.",1,"('Turkey', 'Angola')","('Adana', 'Bagcilar', 'Camama', 'Izmir', 'Mulenvos', 'Shizuoka')",3,2,3,2
"Exactly 2 of the following cities are in India and 1 in Honduras: Himeji, Liaocheng, Lilongwe, Dombivali, Recife, San Pedro Sula.",0,"('India', 'Honduras')","('Dombivali', 'Himeji', 'Liaocheng', 'Lilongwe', 'Recife', 'San Pedro Sula')",2,1,1,1
"Exactly 1 of the following cities are in Moldova and 2 in Brazil: Juiz de Fora, Teresina, Contagem, Chisinau, Duque de Caxias, Manaus.",0,"('Moldova', 'Brazil')","('Chisinau', 'Contagem', 'Duque de Caxias', 'Juiz de Fora', 'Manaus', 'Teresina')",1,2,1,5
"Exactly 5 of the following cities are in Nigeria and 1 in Jamaica: Jos, New Kingston, Abuja, Calabar, Abeokuta, Agege.",1,"('Nigeria', 'Jamaica')","('Abeokuta', 'Abuja', 'Agege', 'Calabar', 'Jos', 'New Kingston')",5,1,5,1
"Exactly 2 of the following cities are in Zambia and 2 in Hungary: Pest, Ndola, Budapest, Lusaka, Benxi, Hannover.",1,"('Zambia', 'Hungary')","('Benxi', 'Budapest', 'Hannover', 'Lusaka', 'Ndola', 'Pest')",2,2,2,2
"Exactly 2 of the following cities are in Venezuela and 1 in Vietnam: Barquisimeto, Xianyang, Port Said, Sadr City, Da Nang, Hue.",0,"('Venezuela', 'Vietnam')","('Barquisimeto', 'Da Nang', 'Hue', 'Port Said', 'Sadr City', 'Xianyang')",2,1,1,2
"Exactly 3 of the following cities are in Burkina Faso and 2 in Mozambique: Macapa, Pallabi, Matola, Makati City, Handan, Ouagadougou.",0,"('Burkina Faso', 'Mozambique')","('Handan', 'Macapa', 'Makati City', 'Matola', 'Ouagadougou', 'Pallabi')",3,2,1,1
"Exactly 2 of the following cities are in Jamaica and 4 in Iran: New Kingston, Surat, Ibb, Tehran, Kitwe, Bishkek.",0,"('Jamaica', 'Iran')","('Bishkek', 'Ibb', 'Kitwe', 'New Kingston', 'Surat', 'Tehran')",2,4,1,1
"Exactly 5 of the following cities are in Ukraine and 1 in Senegal: Pikine, Odesa, Dnipro, Kyiv, Kharkiv, Sevastopol.",1,"('Ukraine', 'Senegal')","('Dnipro', 'Kharkiv', 'Kyiv', 'Odesa', 'Pikine', 'Sevastopol')",5,1,5,1
"Exactly 1 of the following cities are in Algeria and 3 in Canada: Calgary, Santiago de Cuba, Algiers, Aqsu, Mississauga, Quebec.",1,"('Algeria', 'Canada')","('Algiers', 'Aqsu', 'Calgary', 'Mississauga', 'Quebec', 'Santiago de Cuba')",1,3,1,3
"Exactly 2 of the following cities are in Egypt and 3 in the United Arab Emirates: Abu Dhabi, Al Ain City, Suez, Sharjah, Shubra al Khaymah, The Bronx.",1,"('Egypt', 'the United Arab Emirates')","('Abu Dhabi', 'Al Ain City', 'Sharjah', 'Shubra al Khaymah', 'Suez', 'The Bronx')",2,3,2,3
"Exactly 2 of the following cities are in the Philippines and 4 in Brazil: Davao, Sao Bernardo do Campo, Aparecida de Goiania, Porto Velho, Zamboanga, Joao Pessoa.",1,"('the Philippines', 'Brazil')","('Aparecida de Goiania', 'Davao', 'Joao Pessoa', 'Porto Velho', 'Sao Bernardo do Campo', 'Zamboanga')",2,4,2,4
"Exactly 3 of the following cities are in Brazil and 2 in Hungary: Ananindeua, Budapest, Oklahoma City, Uberlandia, Pest, Cuiaba.",1,"('Brazil', 'Hungary')","('Ananindeua', 'Budapest', 'Cuiaba', 'Oklahoma City', 'Pest', 'Uberlandia')",3,2,3,2
"Exactly 1 of the following cities are in Guatemala and 5 in Brazil: Guarulhos, Maceio, Cuiaba, Guatemala City, Uberlandia, Jaboatao dos Guararapes.",1,"('Guatemala', 'Brazil')","('Cuiaba', 'Guarulhos', 'Guatemala City', 'Jaboatao dos Guararapes', 'Maceio', 'Uberlandia')",1,5,1,5
"Exactly 4 of the following cities are in Indonesia and 1 in the Dominican Republic: Surat, Bekasi, Pekanbaru, Banjarmasin, Surakarta, Santiago de los Caballeros.",1,"('Indonesia', 'the Dominican Republic')","('Banjarmasin', 'Bekasi', 'Pekanbaru', 'Santiago de los Caballeros', 'Surakarta', 'Surat')",4,1,4,1
"Exactly 2 of the following cities are in Nigeria and 1 in Poland: Leon de los Aldama, Port Harcourt, Namangan, Libreville, Lodz, Sokoto.",1,"('Nigeria', 'Poland')","('Leon de los Aldama', 'Libreville', 'Lodz', 'Namangan', 'Port Harcourt', 'Sokoto')",2,1,2,1
"Exactly 2 of the following cities are in Germany and 1 in Algeria: Duesseldorf, Hannover, Nuremberg, Kolwezi, Dortmund, Algiers.",0,"('Germany', 'Algeria')","('Algiers', 'Dortmund', 'Duesseldorf', 'Hannover', 'Kolwezi', 'Nuremberg')",2,1,4,1
"Exactly 5 of the following cities are in the Philippines and 1 in Argentina: Las Pinas, Mar del Plata, Salta, San Miguel de Tucuman, Zamboanga, Pasig City.",0,"('the Philippines', 'Argentina')","('Las Pinas', 'Mar del Plata', 'Pasig City', 'Salta', 'San Miguel de Tucuman', 'Zamboanga')",5,1,3,3
"Exactly 4 of the following cities are in Bangladesh and 2 in Canada: Mississauga, Mirpur Model Thana, Quebec, Rangpur, Rajshahi, Mohammadpur.",1,"('Bangladesh', 'Canada')","('Mirpur Model Thana', 'Mississauga', 'Mohammadpur', 'Quebec', 'Rajshahi', 'Rangpur')",4,2,4,2
"Exactly 1 of the following cities are in Chile and 4 in Syria: Aleppo, Ar Raqqah, Puente Alto, Latakia, Homs, Jieyang.",1,"('Chile', 'Syria')","('Aleppo', 'Ar Raqqah', 'Homs', 'Jieyang', 'Latakia', 'Puente Alto')",1,4,1,4
"Exactly 3 of the following cities are in Cameroon and 2 in Peru: Piura, Douala, Arequipa, Yaounde, Changde, Chiclayo.",0,"('Cameroon', 'Peru')","('Arequipa', 'Changde', 'Chiclayo', 'Douala', 'Piura', 'Yaounde')",3,2,2,3
"Exactly 1 of the following cities are in Iran and 1 in Kazakhstan: Madinat an Nasr, Ahvaz, Shymkent, Almaty, Aktobe, Balbala.",0,"('Iran', 'Kazakhstan')","('Ahvaz', 'Aktobe', 'Almaty', 'Balbala', 'Madinat an Nasr', 'Shymkent')",1,1,1,3
"Exactly 3 of the following cities are in Pakistan and 1 in Cameroon: Douala, Chunian, Okara, Shekhupura, Dera Ismail Khan, Nampula.",0,"('Pakistan', 'Cameroon')","('Chunian', 'Dera Ismail Khan', 'Douala', 'Nampula', 'Okara', 'Shekhupura')",3,1,4,1
"Exactly 3 of the following cities are in South Korea and 3 in Turkey: Ankara, Changwon, Hannover, Ho Chi Minh City, Izmir, Istanbul.",0,"('South Korea', 'Turkey')","('Ankara', 'Changwon', 'Hannover', 'Ho Chi Minh City', 'Istanbul', 'Izmir')",3,3,1,3
"Exactly 1 of the following cities are in Zambia and 2 in Yemen: Lusaka, Taiz, Ndola, Aden, Zhangzhou, Kitwe.",0,"('Zambia', 'Yemen')","('Aden', 'Kitwe', 'Lusaka', 'Ndola', 'Taiz', 'Zhangzhou')",1,2,3,2
"Exactly 1 of the following cities are in Indonesia and 1 in Argentina: Jakarta, Yangon, Panzhihua, Anshun, Mar del Plata, Bekasi.",0,"('Indonesia', 'Argentina')","('Anshun', 'Bekasi', 'Jakarta', 'Mar del Plata', 'Panzhihua', 'Yangon')",1,1,2,1
"Exactly 3 of the following cities are in Vietnam and 3 in Ukraine: Thuan An, Ho Chi Minh City, Qui Nhon, Lviv, Kryvyy Rih, Odesa.",1,"('Vietnam', 'Ukraine')","('Ho Chi Minh City', 'Kryvyy Rih', 'Lviv', 'Odesa', 'Qui Nhon', 'Thuan An')",3,3,3,3
"Exactly 5 of the following cities are in Haiti and 1 in Turkey: Carrefour, Konya, Wanzhou, Beirut, Thembisa, Niluefer.",0,"('Haiti', 'Turkey')","('Beirut', 'Carrefour', 'Konya', 'Niluefer', 'Thembisa', 'Wanzhou')",5,1,1,2
"Exactly 2 of the following cities are in Mexico and 4 in India: Da Nang, Zapopan, Cuttack, Qiqihar, Budapest, Pietermaritzburg.",0,"('Mexico', 'India')","('Budapest', 'Cuttack', 'Da Nang', 'Pietermaritzburg', 'Qiqihar', 'Zapopan')",2,4,1,1
"Exactly 1 of the following cities are in the Democratic Republic of the Congo and 3 in Angola: Lubango, Lubumbashi, Calumbo, Bukavu, Benguela, Dar es Salaam.",0,"('the Democratic Republic of the Congo', 'Angola')","('Benguela', 'Bukavu', 'Calumbo', 'Dar es Salaam', 'Lubango', 'Lubumbashi')",1,3,2,3
"Exactly 3 of the following cities are in Nigeria and 3 in Nepal: Ebute Ikorodu, Bannu, Zaria, Addis Ababa, Kathmandu, Multan.",0,"('Nigeria', 'Nepal')","('Addis Ababa', 'Bannu', 'Ebute Ikorodu', 'Kathmandu', 'Multan', 'Zaria')",3,3,2,1
"Exactly 1 of the following cities are in the Dominican Republic and 3 in Syria: Cabinda, Ar Raqqah, Zanzibar, Ansan-si, Santo Domingo Este, Santo Domingo Oeste.",0,"('the Dominican Republic', 'Syria')","('Ansan-si', 'Ar Raqqah', 'Cabinda', 'Santo Domingo Este', 'Santo Domingo Oeste', 'Zanzibar')",1,3,2,1
"Exactly 1 of the following cities are in South Korea and 1 in Lebanon: Dalian, Ulsan, Kimhae, Beirut, Suwon, Ra's Bayrut.",0,"('South Korea', 'Lebanon')","('Beirut', 'Dalian', 'Kimhae', ""Ra's Bayrut"", 'Suwon', 'Ulsan')",1,1,3,2
"Exactly 3 of the following cities are in Venezuela and 2 in Jordan: Zarqa, Maturin, Esenler, Zaria, Kota Kinabalu, Shihezi.",0,"('Venezuela', 'Jordan')","('Esenler', 'Kota Kinabalu', 'Maturin', 'Shihezi', 'Zaria', 'Zarqa')",3,2,1,1
"Exactly 3 of the following cities are in Somalia and 2 in Zambia: Panshan, Zhangjiakou, Borama, Ndola, Lusaka, Kitwe.",0,"('Somalia', 'Zambia')","('Borama', 'Kitwe', 'Lusaka', 'Ndola', 'Panshan', 'Zhangjiakou')",3,2,1,3
"Exactly 4 of the following cities are in Azerbaijan and 1 in Morocco: Oujda, Meknes, Huainan, Agadir, Baku, Tangier.",0,"('Azerbaijan', 'Morocco')","('Agadir', 'Baku', 'Huainan', 'Meknes', 'Oujda', 'Tangier')",4,1,1,4
"Exactly 1 of the following cities are in Croatia and 2 in India: Owerri, Dortmund, Zagreb, Aparecida de Goiania, Luohe, Pimpri.",0,"('Croatia', 'India')","('Aparecida de Goiania', 'Dortmund', 'Luohe', 'Owerri', 'Pimpri', 'Zagreb')",1,2,1,1
"Exactly 1 of the following cities are in Sudan and 4 in Zambia: Anqing, Guarulhos, Khartoum, Kitwe, Beira, Pune.",0,"('Sudan', 'Zambia')","('Anqing', 'Beira', 'Guarulhos', 'Khartoum', 'Kitwe', 'Pune')",1,4,1,1
"Exactly 3 of the following cities are in Kenya and 3 in Vietnam: Thu GJuc, Nairobi, Haiphong, Ho Chi Minh City, Nakuru, Mombasa.",1,"('Kenya', 'Vietnam')","('Haiphong', 'Ho Chi Minh City', 'Mombasa', 'Nairobi', 'Nakuru', 'Thu GJuc')",3,3,3,3
"Exactly 1 of the following cities are in Bosnia and Herzegovina and 5 in Malaysia: Iskandar Puteri, Malacca, Pelentong, Petaling Jaya, Sarajevo, Pasir Gudang.",1,"('Bosnia and Herzegovina', 'Malaysia')","('Iskandar Puteri', 'Malacca', 'Pasir Gudang', 'Pelentong', 'Petaling Jaya', 'Sarajevo')",1,5,1,5
"Exactly 3 of the following cities are in the Philippines and 3 in Venezuela: Maracaibo, Taguig, Caracas, Caloocan, Davao, Ciudad Guayana.",1,"('the Philippines', 'Venezuela')","('Caloocan', 'Caracas', 'Ciudad Guayana', 'Davao', 'Maracaibo', 'Taguig')",3,3,3,3
"Exactly 1 of the following cities are in Russia and 2 in Malaysia: Subang Jaya, Perm, Johor Bahru, Pasir Gudang, Sungai Petani, Tomsk.",0,"('Russia', 'Malaysia')","('Johor Bahru', 'Pasir Gudang', 'Perm', 'Subang Jaya', 'Sungai Petani', 'Tomsk')",1,2,2,4
"Exactly 1 of the following cities are in Denmark and 3 in Iran: Karaj, Copenhagen, Tehran, Hamadan, Changchun, Isfahan.",0,"('Denmark', 'Iran')","('Changchun', 'Copenhagen', 'Hamadan', 'Isfahan', 'Karaj', 'Tehran')",1,3,1,4
"Exactly 4 of the following cities are in the Philippines and 2 in the Dominican Republic: Las Pinas, Caloocan, Makati City, Santo Domingo Oeste, Santo Domingo Este, Santiago de los Caballeros.",0,"('the Philippines', 'the Dominican Republic')","('Caloocan', 'Las Pinas', 'Makati City', 'Santiago de los Caballeros', 'Santo Domingo Este', 'Santo Domingo Oeste')",4,2,3,3
"Exactly 5 of the following cities are in Brazil and 1 in Tajikistan: Sao Bernardo do Campo, Niteroi, Dushanbe, Ribeirao Preto, Duque de Caxias, Brasilia.",1,"('Brazil', 'Tajikistan')","('Brasilia', 'Duque de Caxias', 'Dushanbe', 'Niteroi', 'Ribeirao Preto', 'Sao Bernardo do Campo')",5,1,5,1
