statement,label,city,country,correct_country
The city of Suqian is in Russia.,0,Suqian,Russia,China
The city of Omsk is in Russia.,1,Omsk,Russia,Russia
The city of Ndola is in Poland.,0,Ndola,Poland,Zambia
The city of Port Said is in India.,0,Port Said,India,Egypt
The city of Thuan An is in China.,0,Thuan An,China,Vietnam
The city of Bishkek is in Kyrgyzstan.,1,Bishkek,Kyrgyzstan,Kyrgyzstan
The city of Guiyang is in China.,1,Guiyang,China,China
The city of Shizuoka is in Japan.,1,Shizuoka,Japan,Japan
The city of Ribeirao Preto is in Brazil.,1,Ribeirao Preto,Brazil,Brazil
The city of Korla is in the United States.,0,Korla,the United States,China
The city of Karaj is in Mexico.,0,Karaj,Mexico,Iran
The city of Bilimora is in the United States.,0,Bilimora,the United States,India
The city of Bogor is in Yemen.,0,Bogor,Yemen,Indonesia
The city of Kisangani is in Mozambique.,0,Kisangani,Mozambique,the Democratic Republic of the Congo
The city of Chennai is in Tanzania.,0,Chennai,Tanzania,India
The city of Chongqing is in China.,1,Chongqing,China,China
The city of Tangier is in Morocco.,1,Tangier,Morocco,Morocco
The city of Nagpur is in India.,1,Nagpur,India,India
The city of Jaipur is in China.,0,Jaipur,China,India
The city of Korla is in China.,1,Korla,China,China
The city of Yaounde is in China.,0,Yaounde,China,Cameroon
The city of Guiyang is in India.,0,Guiyang,India,China
The city of Huaihua is in China.,1,Huaihua,China,China
The city of Erzurum is in Brazil.,0,Erzurum,Brazil,Turkey
The city of Osaka is in Indonesia.,0,Osaka,Indonesia,Japan
The city of Helsinki is in China.,0,Helsinki,China,Finland
The city of Bukavu is in China.,0,Bukavu,China,the Democratic Republic of the Congo
The city of Chuxiong is in Russia.,0,Chuxiong,Russia,China
The city of Ansan-si is in Afghanistan.,0,Ansan-si,Afghanistan,South Korea
The city of Pelentong is in India.,0,Pelentong,India,Malaysia
The city of Santiago de Queretaro is in Indonesia.,0,Santiago de Queretaro,Indonesia,Mexico
The city of Kampung Baru Subang is in Malaysia.,1,Kampung Baru Subang,Malaysia,Malaysia
The city of Krakow is in Poland.,1,Krakow,Poland,Poland
The city of Manaus is in Brazil.,1,Manaus,Brazil,Brazil
The city of Baku is in Azerbaijan.,1,Baku,Azerbaijan,Azerbaijan
The city of Kobe is in Japan.,1,Kobe,Japan,Japan
The city of Luohu District is in Turkey.,0,Luohu District,Turkey,China
The city of Wanxian is in Syria.,0,Wanxian,Syria,China
The city of Bucaramanga is in Turkey.,0,Bucaramanga,Turkey,Colombia
The city of Accra is in Ghana.,1,Accra,Ghana,Ghana
The city of Kitakyushu is in Nigeria.,0,Kitakyushu,Nigeria,Japan
The city of Matola is in China.,0,Matola,China,Mozambique
The city of Kemerovo is in Lebanon.,0,Kemerovo,Lebanon,Russia
The city of Pasir Gudang is in Malaysia.,1,Pasir Gudang,Malaysia,Malaysia
The city of Aleppo is in Syria.,1,Aleppo,Syria,Syria
The city of Pontianak is in Indonesia.,1,Pontianak,Indonesia,Indonesia
The city of Nagoya is in India.,0,Nagoya,India,Japan
The city of Vladivostok is in Russia.,1,Vladivostok,Russia,Russia
The city of Petaling Jaya is in Malaysia.,1,Petaling Jaya,Malaysia,Malaysia
The city of Jingmen is in North Korea.,0,Jingmen,North Korea,China
The city of Tolyatti is in China.,0,Tolyatti,China,Russia
The city of Bareilly is in India.,1,Bareilly,India,India
The city of Accra is in Mozambique.,0,Accra,Mozambique,Ghana
The city of Nyala is in China.,0,Nyala,China,Sudan
The city of Kanayannur is in India.,1,Kanayannur,India,India
The city of Goyang-si is in Brazil.,0,Goyang-si,Brazil,South Korea
The city of Maoming is in China.,1,Maoming,China,China
The city of Binh Thanh is in Brazil.,0,Binh Thanh,Brazil,Vietnam
The city of Qui Nhon is in Jordan.,0,Qui Nhon,Jordan,Vietnam
The city of Najafgarh is in India.,1,Najafgarh,India,India
The city of Mandalay is in Myanmar.,1,Mandalay,Myanmar,Myanmar
The city of Calgary is in China.,0,Calgary,China,Canada
The city of Da Nang is in Russia.,0,Da Nang,Russia,Vietnam
The city of Contagem is in China.,0,Contagem,China,Brazil
The city of Madurai is in China.,0,Madurai,China,India
The city of Ningbo is in China.,1,Ningbo,China,China
The city of Malatya is in Iran.,0,Malatya,Iran,Turkey
The city of Cheonan is in South Korea.,1,Cheonan,South Korea,South Korea
The city of Sialkot is in Pakistan.,1,Sialkot,Pakistan,Pakistan
The city of Stockholm is in Sweden.,1,Stockholm,Sweden,Sweden
The city of Bengaluru is in India.,1,Bengaluru,India,India
The city of Jiaozhou is in China.,1,Jiaozhou,China,China
The city of Tolyatti is in Russia.,1,Tolyatti,Russia,Russia
The city of Can Tho is in China.,0,Can Tho,China,Vietnam
The city of Jeonju is in Egypt.,0,Jeonju,Egypt,South Korea
The city of Ganzhou is in China.,1,Ganzhou,China,China
The city of Liuzhou is in China.,1,Liuzhou,China,China
The city of Jieyang is in Russia.,0,Jieyang,Russia,China
The city of Tiruppur is in Russia.,0,Tiruppur,Russia,India
The city of Bareilly is in North Korea.,0,Bareilly,North Korea,India
The city of Mexicali is in Mexico.,1,Mexicali,Mexico,Mexico
The city of Mukim Pulai is in Malaysia.,1,Mukim Pulai,Malaysia,Malaysia
The city of Handan is in Mexico.,0,Handan,Mexico,China
The city of Pokhara is in Nepal.,1,Pokhara,Nepal,Nepal
The city of Yinchuan is in China.,1,Yinchuan,China,China
The city of Erode is in Guinea.,0,Erode,Guinea,India
The city of Coimbatore is in India.,1,Coimbatore,India,India
The city of Jabalpur is in India.,1,Jabalpur,India,India
The city of Arifwala is in Pakistan.,1,Arifwala,Pakistan,Pakistan
The city of Caloocan is in the Philippines.,1,Caloocan,the Philippines,the Philippines
The city of Camama is in Russia.,0,Camama,Russia,Angola
The city of Neijiang is in Afghanistan.,0,Neijiang,Afghanistan,China
The city of Rui'an is in China.,1,Rui'an,China,China
The city of Nagpur is in Bangladesh.,0,Nagpur,Bangladesh,India
The city of Qinzhou is in China.,1,Qinzhou,China,China
The city of Manaus is in Malaysia.,0,Manaus,Malaysia,Brazil
The city of Detroit is in the United States.,1,Detroit,the United States,the United States
The city of Recife is in Brazil.,1,Recife,Brazil,Brazil
The city of Shizuoka is in India.,0,Shizuoka,India,Japan
The city of Homs is in Syria.,1,Homs,Syria,Syria
The city of Tshikapa is in South Korea.,0,Tshikapa,South Korea,the Democratic Republic of the Congo
The city of Shangyu is in China.,1,Shangyu,China,China
The city of Bursa is in India.,0,Bursa,India,Turkey
The city of Lueliang is in India.,0,Lueliang,India,China
The city of Zhangye is in Pakistan.,0,Zhangye,Pakistan,China
The city of Torreon is in Honduras.,0,Torreon,Honduras,Mexico
The city of Malingao is in India.,0,Malingao,India,the Philippines
The city of Linfen is in Russia.,0,Linfen,Russia,China
The city of Comilla is in China.,0,Comilla,China,Bangladesh
The city of Mysuru is in India.,1,Mysuru,India,India
The city of Nouakchott is in Morocco.,0,Nouakchott,Morocco,Mauritania
The city of Kisangani is in the Democratic Republic of the Congo.,1,Kisangani,the Democratic Republic of the Congo,the Democratic Republic of the Congo
The city of Yangjiang is in China.,1,Yangjiang,China,China
The city of Nanjing is in India.,0,Nanjing,India,China
The city of Mississauga is in Canada.,1,Mississauga,Canada,Canada
The city of Rohini is in India.,1,Rohini,India,India
The city of Shah Alam is in Malaysia.,1,Shah Alam,Malaysia,Malaysia
The city of Ibague is in Colombia.,1,Ibague,Colombia,Colombia
The city of Makhachkala is in China.,0,Makhachkala,China,Russia
The city of Leipzig is in China.,0,Leipzig,China,Germany
The city of Al Ain City is in the United Arab Emirates.,1,Al Ain City,the United Arab Emirates,the United Arab Emirates
The city of San Miguel de Tucuman is in China.,0,San Miguel de Tucuman,China,Argentina
The city of Liupanshui is in China.,1,Liupanshui,China,China
The city of Maianga is in China.,0,Maianga,China,Angola
The city of Sholapur is in India.,1,Sholapur,India,India
The city of Zhenjiang is in Norway.,0,Zhenjiang,Norway,China
The city of Suez is in China.,0,Suez,China,Egypt
The city of Barnaul is in China.,0,Barnaul,China,Russia
The city of Dalian is in India.,0,Dalian,India,China
The city of Jakarta is in Indonesia.,1,Jakarta,Indonesia,Indonesia
The city of Londrina is in Brazil.,1,Londrina,Brazil,Brazil
The city of Odesa is in Pakistan.,0,Odesa,Pakistan,Ukraine
The city of Port-au-Prince is in Haiti.,1,Port-au-Prince,Haiti,Haiti
The city of Zapopan is in Angola.,0,Zapopan,Angola,Mexico
The city of Surat is in India.,1,Surat,India,India
The city of Kobe is in China.,0,Kobe,China,Japan
The city of Ho Chi Minh City is in Vietnam.,1,Ho Chi Minh City,Vietnam,Vietnam
The city of Kananga is in China.,0,Kananga,China,the Democratic Republic of the Congo
The city of Wuhan is in Nigeria.,0,Wuhan,Nigeria,China
The city of Huludao is in South Korea.,0,Huludao,South Korea,China
The city of Mohammadpur is in Turkey.,0,Mohammadpur,Turkey,Bangladesh
The city of Wuzhong is in Vietnam.,0,Wuzhong,Vietnam,China
The city of Soshanguve is in India.,0,Soshanguve,India,South Africa
The city of Faisalabad is in Mexico.,0,Faisalabad,Mexico,Pakistan
The city of Shaoguan is in China.,1,Shaoguan,China,China
The city of Anqing is in India.,0,Anqing,India,China
The city of Kimhae is in South Korea.,1,Kimhae,South Korea,South Korea
The city of Anshan is in Pakistan.,0,Anshan,Pakistan,China
"The city of Mianzhu, Deyang, Sichuan is in China.",1,"Mianzhu, Deyang, Sichuan",China,China
The city of Zarqa is in Jordan.,1,Zarqa,Jordan,Jordan
The city of Malang is in Indonesia.,1,Malang,Indonesia,Indonesia
The city of Zhoushan is in China.,1,Zhoushan,China,China
The city of Tegucigalpa is in Honduras.,1,Tegucigalpa,Honduras,Honduras
The city of Vilnius is in Ukraine.,0,Vilnius,Ukraine,Lithuania
The city of Bikaner is in Egypt.,0,Bikaner,Egypt,India
The city of Pasig City is in the Philippines.,1,Pasig City,the Philippines,the Philippines
The city of Malang is in Angola.,0,Malang,Angola,Indonesia
The city of Yibin is in Canada.,0,Yibin,Canada,China
The city of Borivli is in Azerbaijan.,0,Borivli,Azerbaijan,India
The city of Adachi is in Japan.,1,Adachi,Japan,Japan
The city of Khartoum North is in India.,0,Khartoum North,India,Sudan
The city of Warri is in Nigeria.,1,Warri,Nigeria,Nigeria
The city of Rahim Yar Khan is in Pakistan.,1,Rahim Yar Khan,Pakistan,Pakistan
The city of Sao Jose dos Campos is in Uganda.,0,Sao Jose dos Campos,Uganda,Brazil
The city of Bobo-Dioulasso is in Malaysia.,0,Bobo-Dioulasso,Malaysia,Burkina Faso
The city of Abu Ghurayb is in India.,0,Abu Ghurayb,India,Iraq
The city of Homyel' is in Belarus.,1,Homyel',Belarus,Belarus
The city of Ilorin is in Nigeria.,1,Ilorin,Nigeria,Nigeria
The city of Quito is in Ecuador.,1,Quito,Ecuador,Ecuador
The city of Oujda is in Morocco.,1,Oujda,Morocco,Morocco
The city of Budapest is in South Korea.,0,Budapest,South Korea,Hungary
The city of Sanaa is in Yemen.,1,Sanaa,Yemen,Yemen
The city of Hamamatsu is in Russia.,0,Hamamatsu,Russia,Japan
The city of Ranchi is in China.,0,Ranchi,China,India
The city of Kota Bharu is in Malaysia.,1,Kota Bharu,Malaysia,Malaysia
The city of Kallakurichi is in Germany.,0,Kallakurichi,Germany,India
The city of Daxing'anling is in China.,1,Daxing'anling,China,China
The city of Osogbo is in Nigeria.,1,Osogbo,Nigeria,Nigeria
The city of Bandar Lampung is in Indonesia.,1,Bandar Lampung,Indonesia,Indonesia
The city of Battagram is in Pakistan.,1,Battagram,Pakistan,Pakistan
The city of Marrakesh is in Morocco.,1,Marrakesh,Morocco,Morocco
The city of Johannesburg is in Japan.,0,Johannesburg,Japan,South Africa
The city of Incheon is in South Korea.,1,Incheon,South Korea,South Korea
The city of Kikolo is in China.,0,Kikolo,China,Angola
The city of Ulanqab is in Pakistan.,0,Ulanqab,Pakistan,China
The city of Zigong is in China.,1,Zigong,China,China
The city of Kolhapur is in India.,1,Kolhapur,India,India
The city of Lipetsk is in Burkina Faso.,0,Lipetsk,Burkina Faso,Russia
The city of Minsk is in Egypt.,0,Minsk,Egypt,Belarus
The city of Abeokuta is in Nigeria.,1,Abeokuta,Nigeria,Nigeria
The city of UEruemqi is in China.,1,UEruemqi,China,China
The city of Baoji is in Japan.,0,Baoji,Japan,China
The city of Daejeon is in Rwanda.,0,Daejeon,Rwanda,South Korea
The city of Acapulco de Juarez is in Mexico.,1,Acapulco de Juarez,Mexico,Mexico
The city of Albuquerque is in Nepal.,0,Albuquerque,Nepal,the United States
The city of Rizhao is in China.,1,Rizhao,China,China
The city of Cimahi is in Egypt.,0,Cimahi,Egypt,Indonesia
The city of Sorocaba is in Iraq.,0,Sorocaba,Iraq,Brazil
The city of Hongkou is in China.,1,Hongkou,China,China
The city of Ajmer is in Japan.,0,Ajmer,Japan,India
The city of Putian is in Egypt.,0,Putian,Egypt,China
The city of Culiacan is in Mexico.,1,Culiacan,Mexico,Mexico
The city of Izhevsk is in China.,0,Izhevsk,China,Russia
The city of Ile-Ife is in Nigeria.,1,Ile-Ife,Nigeria,Nigeria
The city of Hubballi is in Angola.,0,Hubballi,Angola,India
The city of Indore is in Myanmar.,0,Indore,Myanmar,India
The city of Vinh is in Vietnam.,1,Vinh,Vietnam,Vietnam
The city of Guarulhos is in Brazil.,1,Guarulhos,Brazil,Brazil
The city of Jeddah is in Saudi Arabia.,1,Jeddah,Saudi Arabia,Saudi Arabia
The city of Kasur is in Pakistan.,1,Kasur,Pakistan,Pakistan
The city of Goyang-si is in South Korea.,1,Goyang-si,South Korea,South Korea
The city of Tashkent is in Ukraine.,0,Tashkent,Ukraine,Uzbekistan
The city of Qiqihar is in South Korea.,0,Qiqihar,South Korea,China
The city of Ciudad Juarez is in Japan.,0,Ciudad Juarez,Japan,Mexico
The city of Bekasi is in China.,0,Bekasi,China,Indonesia
The city of Pingliang is in Indonesia.,0,Pingliang,Indonesia,China
The city of Pietermaritzburg is in South Africa.,1,Pietermaritzburg,South Africa,South Africa
The city of Hue is in Iraq.,0,Hue,Iraq,Vietnam
The city of Chiclayo is in Pakistan.,0,Chiclayo,Pakistan,Peru
The city of Ajegunle is in Russia.,0,Ajegunle,Russia,Nigeria
The city of Hegang is in China.,1,Hegang,China,China
The city of N'Djamena is in Chad.,1,N'Djamena,Chad,Chad
The city of Golfe is in Angola.,1,Golfe,Angola,Angola
The city of Nansana is in China.,0,Nansana,China,Uganda
The city of Linyi is in Mexico.,0,Linyi,Mexico,China
The city of Yangjiang is in India.,0,Yangjiang,India,China
The city of Benguela is in Angola.,1,Benguela,Angola,Angola
The city of Ziyang is in Iraq.,0,Ziyang,Iraq,China
The city of Haiphong is in China.,0,Haiphong,China,Vietnam
The city of Ashgabat is in India.,0,Ashgabat,India,Turkmenistan
The city of Homs is in Morocco.,0,Homs,Morocco,Syria
The city of Ulyanovsk is in Russia.,1,Ulyanovsk,Russia,Russia
The city of Al Hudaydah is in Yemen.,1,Al Hudaydah,Yemen,Yemen
The city of Zhangye is in China.,1,Zhangye,China,China
The city of Bijie is in China.,1,Bijie,China,China
The city of Tirunelveli is in India.,1,Tirunelveli,India,India
The city of Borivli is in India.,1,Borivli,India,India
The city of Saitama is in Australia.,0,Saitama,Australia,Japan
The city of Puxi is in Nigeria.,0,Puxi,Nigeria,China
The city of Wuhan is in China.,1,Wuhan,China,China
The city of Suwon is in South Korea.,1,Suwon,South Korea,South Korea
The city of Jiangmen is in Poland.,0,Jiangmen,Poland,China
The city of Suizhou is in China.,1,Suizhou,China,China
The city of Dar es Salaam is in Tanzania.,1,Dar es Salaam,Tanzania,Tanzania
The city of Bukavu is in the Democratic Republic of the Congo.,1,Bukavu,the Democratic Republic of the Congo,the Democratic Republic of the Congo
The city of Mirpur Model Thana is in Bangladesh.,1,Mirpur Model Thana,Bangladesh,Bangladesh
The city of Multan is in Pakistan.,1,Multan,Pakistan,Pakistan
The city of Bucaramanga is in Colombia.,1,Bucaramanga,Colombia,Colombia
The city of Jaboatao dos Guararapes is in Brazil.,1,Jaboatao dos Guararapes,Brazil,Brazil
The city of Peshawar is in Pakistan.,1,Peshawar,Pakistan,Pakistan
The city of Sao Jose dos Campos is in Brazil.,1,Sao Jose dos Campos,Brazil,Brazil
The city of Johannesburg is in South Africa.,1,Johannesburg,South Africa,South Africa
The city of Gold Coast is in Angola.,0,Gold Coast,Angola,Australia
The city of Ciudad Guayana is in Poland.,0,Ciudad Guayana,Poland,Venezuela
The city of Makati City is in the Philippines.,1,Makati City,the Philippines,the Philippines
The city of Indore is in India.,1,Indore,India,India
The city of Caracas is in Venezuela.,1,Caracas,Venezuela,Venezuela
The city of Hengyang is in the Philippines.,0,Hengyang,the Philippines,China
The city of Sialkot is in China.,0,Sialkot,China,Pakistan
The city of Bhavnagar is in India.,1,Bhavnagar,India,India
The city of Ibague is in Mexico.,0,Ibague,Mexico,Colombia
The city of Gaziantep is in Turkey.,1,Gaziantep,Turkey,Turkey
The city of Okayama is in Malaysia.,0,Okayama,Malaysia,Japan
The city of Kinshasa is in Sudan.,0,Kinshasa,Sudan,the Democratic Republic of the Congo
The city of Beira is in China.,0,Beira,China,Mozambique
The city of Macapa is in Iraq.,0,Macapa,Iraq,Brazil
The city of Marrakesh is in China.,0,Marrakesh,China,Morocco
The city of Tomsk is in the Philippines.,0,Tomsk,the Philippines,Russia
The city of Nova Iguacu is in Brazil.,1,Nova Iguacu,Brazil,Brazil
The city of Zhangjiakou is in Colombia.,0,Zhangjiakou,Colombia,China
The city of Ankara is in Jordan.,0,Ankara,Jordan,Turkey
The city of Bangkok is in Thailand.,1,Bangkok,Thailand,Thailand
The city of Chuzhou is in Bangladesh.,0,Chuzhou,Bangladesh,China
The city of Dharavi is in India.,1,Dharavi,India,India
The city of Thu GJuc is in India.,0,Thu GJuc,India,Vietnam
The city of Pimpri is in India.,1,Pimpri,India,India
The city of Fushun is in China.,1,Fushun,China,China
The city of Basrah is in Iraq.,1,Basrah,Iraq,Iraq
The city of Wanning is in China.,1,Wanning,China,China
The city of Ipoh is in Ghana.,0,Ipoh,Ghana,Malaysia
The city of Perm is in Russia.,1,Perm,Russia,Russia
The city of Algiers is in the Democratic Republic of the Congo.,0,Algiers,the Democratic Republic of the Congo,Algeria
The city of Nasiriyah is in Venezuela.,0,Nasiriyah,Venezuela,Iraq
The city of Shangrao is in China.,1,Shangrao,China,China
The city of Zhaotong is in India.,0,Zhaotong,India,China
The city of Kozhikode is in India.,1,Kozhikode,India,India
The city of Cheonan is in India.,0,Cheonan,India,South Korea
The city of Curitiba is in Brazil.,1,Curitiba,Brazil,Brazil
The city of Beijing is in the Philippines.,0,Beijing,the Philippines,China
The city of Munich is in Syria.,0,Munich,Syria,Germany
The city of Guangyuan is in Indonesia.,0,Guangyuan,Indonesia,China
The city of Kigali is in India.,0,Kigali,India,Rwanda
The city of Shuangyashan is in China.,1,Shuangyashan,China,China
The city of Bucharest is in China.,0,Bucharest,China,Romania
The city of Cotonou is in Benin.,1,Cotonou,Benin,Benin
The city of Tijuana is in China.,0,Tijuana,China,Mexico
The city of Aguascalientes is in India.,0,Aguascalientes,India,Mexico
The city of Huaibei is in China.,1,Huaibei,China,China
The city of Dalian is in China.,1,Dalian,China,China
The city of Bhavnagar is in China.,0,Bhavnagar,China,India
The city of Gwalior is in India.,1,Gwalior,India,India
The city of Durban is in South Africa.,1,Durban,South Africa,South Africa
The city of Ordos is in China.,1,Ordos,China,China
The city of Erbil is in Iraq.,1,Erbil,Iraq,Iraq
The city of Puxi is in China.,1,Puxi,China,China
The city of Santiago de Queretaro is in Mexico.,1,Santiago de Queretaro,Mexico,Mexico
The city of Albuquerque is in the United States.,1,Albuquerque,the United States,the United States
The city of Shekhupura is in Pakistan.,1,Shekhupura,Pakistan,Pakistan
The city of Daegu is in South Korea.,1,Daegu,South Korea,South Korea
The city of The Bronx is in the Democratic Republic of the Congo.,0,The Bronx,the Democratic Republic of the Congo,the United States
The city of Putuo is in China.,1,Putuo,China,China
The city of New York City is in the United States.,1,New York City,the United States,the United States
The city of Xiangtan is in Indonesia.,0,Xiangtan,Indonesia,China
The city of Shizuishan is in Iran.,0,Shizuishan,Iran,China
The city of Paranaque City is in the Philippines.,1,Paranaque City,the Philippines,the Philippines
The city of Nha Trang is in Morocco.,0,Nha Trang,Morocco,Vietnam
The city of Ha'il is in Finland.,0,Ha'il,Finland,Saudi Arabia
The city of Malatya is in Turkey.,1,Malatya,Turkey,Turkey
The city of Jalandhar is in Russia.,0,Jalandhar,Russia,India
The city of Sevastopol is in Brazil.,0,Sevastopol,Brazil,Ukraine
The city of Ciudad Nezahualcoyotl is in Bangladesh.,0,Ciudad Nezahualcoyotl,Bangladesh,Mexico
The city of Karachi is in China.,0,Karachi,China,Pakistan
The city of Mulenvos is in Angola.,1,Mulenvos,Angola,Angola
The city of Yekaterinburg is in Iraq.,0,Yekaterinburg,Iraq,Russia
The city of Istanbul is in China.,0,Istanbul,China,Turkey
The city of Cucuta is in Colombia.,1,Cucuta,Colombia,Colombia
The city of Homyel' is in China.,0,Homyel',China,Belarus
The city of Leipzig is in Germany.,1,Leipzig,Germany,Germany
The city of Jamnagar is in the Philippines.,0,Jamnagar,the Philippines,India
The city of Beijing is in China.,1,Beijing,China,China
The city of Sukkur is in Pakistan.,1,Sukkur,Pakistan,Pakistan
The city of Suining is in Brazil.,0,Suining,Brazil,China
The city of Dongying is in Mexico.,0,Dongying,Mexico,China
The city of Qinhuangdao is in India.,0,Qinhuangdao,India,China
The city of Weihai is in Tajikistan.,0,Weihai,Tajikistan,China
The city of Assiut is in Egypt.,1,Assiut,Egypt,Egypt
The city of Al Mahallah al Kubra is in Indonesia.,0,Al Mahallah al Kubra,Indonesia,Egypt
The city of Dortmund is in Germany.,1,Dortmund,Germany,Germany
The city of Goiania is in Brazil.,1,Goiania,Brazil,Brazil
The city of Xuhui is in China.,1,Xuhui,China,China
The city of Laibin is in China.,1,Laibin,China,China
The city of Likasi is in the Democratic Republic of the Congo.,1,Likasi,the Democratic Republic of the Congo,the Democratic Republic of the Congo
The city of Karaj is in Iran.,1,Karaj,Iran,Iran
The city of Benxi is in China.,1,Benxi,China,China
The city of Ufa is in Russia.,1,Ufa,Russia,Russia
The city of Abidjan is in Côte d'Ivoire.,1,Abidjan,Côte d'Ivoire,Côte d'Ivoire
The city of Yangquan is in Senegal.,0,Yangquan,Senegal,China
The city of Hohhot is in China.,1,Hohhot,China,China
The city of Guatemala City is in Guatemala.,1,Guatemala City,Guatemala,Guatemala
The city of Nanchong is in China.,1,Nanchong,China,China
The city of Tlaquepaque is in Mexico.,1,Tlaquepaque,Mexico,Mexico
The city of Bouake is in Côte d'Ivoire.,1,Bouake,Côte d'Ivoire,Côte d'Ivoire
The city of Kuecuekcekmece is in Mexico.,0,Kuecuekcekmece,Mexico,Turkey
The city of Qiqihar is in China.,1,Qiqihar,China,China
The city of Pasig City is in Syria.,0,Pasig City,Syria,the Philippines
The city of Ulhasnagar is in Japan.,0,Ulhasnagar,Japan,India
The city of Yibin is in China.,1,Yibin,China,China
The city of Duque de Caxias is in China.,0,Duque de Caxias,China,Brazil
The city of Caloocan is in India.,0,Caloocan,India,the Philippines
The city of Al Ahmadi is in Kuwait.,1,Al Ahmadi,Kuwait,Kuwait
The city of Xuchang is in China.,1,Xuchang,China,China
The city of Orumiyeh is in Angola.,0,Orumiyeh,Angola,Iran
The city of Hamamatsu is in Japan.,1,Hamamatsu,Japan,Japan
The city of Saint Petersburg is in India.,0,Saint Petersburg,India,Russia
The city of Tegucigalpa is in China.,0,Tegucigalpa,China,Honduras
The city of Sanya is in China.,1,Sanya,China,China
The city of Milwaukee is in the United States.,1,Milwaukee,the United States,the United States
The city of Rangpur is in Bangladesh.,1,Rangpur,Bangladesh,Bangladesh
The city of Aktobe is in Pakistan.,0,Aktobe,Pakistan,Kazakhstan
The city of Zhangjiakou is in China.,1,Zhangjiakou,China,China
The city of Semarang is in Indonesia.,1,Semarang,Indonesia,Indonesia
The city of Mukim Pulai is in Belarus.,0,Mukim Pulai,Belarus,Malaysia
The city of Siliguri is in Pakistan.,0,Siliguri,Pakistan,India
The city of Bijie is in Brazil.,0,Bijie,Brazil,China
The city of Arifwala is in South Africa.,0,Arifwala,South Africa,Pakistan
The city of Baghdad is in China.,0,Baghdad,China,Iraq
The city of Cimahi is in Indonesia.,1,Cimahi,Indonesia,Indonesia
The city of Jiujiang is in China.,1,Jiujiang,China,China
The city of Shekhupura is in Lithuania.,0,Shekhupura,Lithuania,Pakistan
The city of Guigang is in China.,1,Guigang,China,China
The city of Fukuoka is in Japan.,1,Fukuoka,Japan,Japan
The city of Kolkata is in India.,1,Kolkata,India,India
The city of Nashik is in India.,1,Nashik,India,India
The city of Warangal is in India.,1,Warangal,India,India
The city of Surat is in Angola.,0,Surat,Angola,India
The city of Bauchi is in India.,0,Bauchi,India,Nigeria
The city of Amritsar is in India.,1,Amritsar,India,India
The city of Kaduna is in Nigeria.,1,Kaduna,Nigeria,Nigeria
The city of Pest is in India.,0,Pest,India,Hungary
The city of Ar Raqqah is in Turkey.,0,Ar Raqqah,Turkey,Syria
The city of Hanzhong is in China.,1,Hanzhong,China,China
The city of Chunian is in Guatemala.,0,Chunian,Guatemala,Pakistan
The city of Langfang is in Angola.,0,Langfang,Angola,China
The city of Frankfurt am Main is in Germany.,1,Frankfurt am Main,Germany,Germany
The city of Bikaner is in India.,1,Bikaner,India,India
The city of Camayenne is in Mexico.,0,Camayenne,Mexico,Guinea
The city of Amman is in Jordan.,1,Amman,Jordan,Jordan
The city of Rajkot is in Brazil.,0,Rajkot,Brazil,India
The city of Vadodara is in India.,1,Vadodara,India,India
The city of Astrakhan is in Russia.,1,Astrakhan,Russia,Russia
The city of Phnom Penh is in Cambodia.,1,Phnom Penh,Cambodia,Cambodia
The city of Mersin is in China.,0,Mersin,China,Turkey
The city of Xuancheng is in Malaysia.,0,Xuancheng,Malaysia,China
The city of Songjiang is in China.,1,Songjiang,China,China
The city of Porto Velho is in Brazil.,1,Porto Velho,Brazil,Brazil
The city of Sanming is in China.,1,Sanming,China,China
The city of Maputo is in Mozambique.,1,Maputo,Mozambique,Mozambique
The city of Aracaju is in the United States.,0,Aracaju,the United States,Brazil
The city of Arequipa is in China.,0,Arequipa,China,Peru
The city of Rajshahi is in Bangladesh.,1,Rajshahi,Bangladesh,Bangladesh
The city of Al Fayyum is in Egypt.,1,Al Fayyum,Egypt,Egypt
The city of Tasikmalaya is in Indonesia.,1,Tasikmalaya,Indonesia,Indonesia
The city of Zagreb is in Croatia.,1,Zagreb,Croatia,Croatia
The city of Dombivali is in India.,1,Dombivali,India,India
The city of Suwon is in China.,0,Suwon,China,South Korea
The city of Amravati is in India.,1,Amravati,India,India
The city of Zahedan is in China.,0,Zahedan,China,Iran
The city of Toulouse is in Kenya.,0,Toulouse,Kenya,France
The city of Onitsha is in India.,0,Onitsha,India,Nigeria
The city of Ordos is in Egypt.,0,Ordos,Egypt,China
The city of Recife is in India.,0,Recife,India,Brazil
The city of Incheon is in China.,0,Incheon,China,South Korea
The city of Liaocheng is in Ukraine.,0,Liaocheng,Ukraine,China
The city of Loni is in Indonesia.,0,Loni,Indonesia,India
The city of Qionghai is in China.,1,Qionghai,China,China
The city of Kinshasa is in the Democratic Republic of the Congo.,1,Kinshasa,the Democratic Republic of the Congo,the Democratic Republic of the Congo
The city of Baku is in China.,0,Baku,China,Azerbaijan
The city of Port Said is in Egypt.,1,Port Said,Egypt,Egypt
The city of Hefei is in China.,1,Hefei,China,China
The city of Lianyungang is in China.,1,Lianyungang,China,China
The city of Maracaibo is in China.,0,Maracaibo,China,Venezuela
The city of Niluefer is in Mexico.,0,Niluefer,Mexico,Turkey
The city of Kunshan is in China.,1,Kunshan,China,China
